dam,IV,A/E,PRB,PRB2
CressidaI GB,0.726,0.415,0.553,0.397
Sandystones GB,0.581,0.414,0.466,0.325
Madam Alison GB,1.367,0.82,0.594,0.457
Dish Dash GB,2.113,1.843,0.316,0.265
Nikkis Pet GB,2.905,1.249,0.618,0.527
Wild Rosie GB,1.937,1.919,0.669,0.515
Merry Mirth GB,0.83,0.776,0.43,0.302
Quennie Mo Ghra (IRE),1.453,0.648,0.36,0.265
Hazelwain GB,0.968,0.689,0.456,0.355
Kawther GB,0.505,0.37,0.51,0.325
Buckeye Gal (USA),0,0,0.685,0.476
Americo Rose (IRE),0,0,0.587,0.354
Singing Forever GB,0,0,0.276,0.119
Mysistra (FR),1.056,2.122,0.414,0.276
Lubeka (POL),0,0,0.228,0.08
Tashiriya (IRE),0,0,0.181,0.071
Dark Lady (GER),5.364,1.682,0.823,0.73
Miss Diskin (IRE),0,0,0.636,0.434
Salala GB,1.291,1.298,0.513,0.365
Vital Approach (IRE),3.32,1.462,0.641,0.508
Miss Cali GB,0,0,0.092,0.017
Lady Nerak GB,0,0,0.235,0.121
Sporting Talent (IRE),0,0,0.698,0.577
Moorland Nell GB,0.894,0.512,0.657,0.496
Nakuru (IRE),0,0,0.465,0.315
Northern Elation (IRE),0,0,0.364,0.165
Liebesgirl GB,0,0,0.653,0.443
Amazing Silks GB,1.937,1.464,0.414,0.335
Shady Miss GB,3.32,1.593,0.677,0.583
Love For Lydia (IRE),0,0,0.308,0.166
Kellys Special GB,1.162,0.816,0.442,0.319
Frizzball (IRE),0,0,0,0
Dany Ohio (FR),0,0,0.417,0.269
Speremm (IRE),1.056,0.806,0.474,0.321
Meanz Beanz GB,0,0,0.385,0.238
Shirleys Gift GB,6.973,1.14,0.833,0.761
Serocco Wind GB,4.358,1.574,0.767,0.689
Wishing Trout GB,0,0,0.275,0.153
Laurebon GB,1.66,0.627,0.646,0.542
Thyatira (FR),2.905,1.309,0.714,0.594
Fainting Spell (FR),2.324,0.769,0.869,0.769
Nordic Display (IRE),1.162,0.512,0.535,0.43
See You (USA),0,0,0.376,0.252
Hannies Girl (IRE),1.453,1.112,0.467,0.36
Bint Albaadiya (USA),1.162,0.641,0.46,0.364
Rajaura (IRE),1.937,0.659,0.539,0.442
Pillow Mint (USA),2.324,1.532,0.611,0.511
Royale Nabeysse (FR),2.905,0.932,0.621,0.509
Rewbell GB,0,0,0.91,0.829
Brave Express GB,0,0,0.481,0.304
Diamond Display (IRE),5.811,1.717,0.735,0.656
Supreme Weasel (IRE),0,0,0.75,0.562
Fripperie (FR),0,0,0.688,0.473
Glittering Pan GB,0,0,0.227,0.131
Rock All Night (IRE),2.324,3.196,0.582,0.389
Browns Cantata GB,0,0,0.766,0.623
Jolis Girl GB,1.162,0.562,0.629,0.492
Neptunalia GB,0,0,0.361,0.131
Altesse Bruere (FR),0,0,0.125,0.031
Dopey Muck GB,0,0,0.171,0.029
Upton Lass (IRE),0,0,0.125,0.016
Jennys Castle GB,2.905,3.536,0.506,0.37
Manhunt GB,0,0,0,0
Golden Flower (GER),9.297,2.195,0.911,0.862
User Friendly GB,1.367,0.487,0.702,0.553
Mitsubishi Diamond (IRE),3.32,2.299,0.657,0.546
Mistinguett (IRE),3.874,2.604,0.609,0.542
Action Plan GB,0,0,0.624,0.414
Choice Brush (IRE),0,0,0.468,0.308
Dix Huit Brumaire (FR),2.324,0.864,0.709,0.573
Heavenly Artist (IRE),0,0,0.019,0.001
Le Bavellen (IRE),2.152,0.999,0.646,0.517
Dream Academy GB,3.874,1.913,0.805,0.711
Ross Gale GB,2.905,1.689,0.479,0.384
Gentle Gill GB,0,0,0.445,0.313
Ross Rag GB,0,0,0.532,0.43
Amphitrite (FR),1.66,1.314,0.711,0.537
Ilkiya (FR),0,0,0.515,0.322
Jersey Girl GB,0.684,0.551,0.388,0.247
Kalliste (FR),0,0,0.157,0.062
Narcone GB,0,0,0.498,0.352
Moaning Jenny GB,0,0,0.443,0.328
Shuil Alainn GB,3.169,2.32,0.703,0.591
Just Possible GB,2.905,1.457,0.596,0.495
Flutter I (IRE),0,0,0.083,0.025
Brookshield Baby (IRE),2.905,1.792,0.673,0.612
Natures Magic (USA),1.66,0.782,0.642,0.5
Patience Of Angels (IRE),1.011,0.779,0.656,0.535
Craigmill GB,1.291,0.608,0.761,0.606
Pipers Pool (IRE),1.162,1.081,0.592,0.427
Reynella Lass (IRE),3.874,2.309,0.64,0.501
Dawnsio (IRE),2.49,1.272,0.664,0.538
Ride The Rapids GB,0,0,0.12,0.057
Montessori GB,0,0,0.162,0.059
Foxy (FR),2.324,1.723,0.6,0.446
Rugged Leader GB,4.649,4.761,0.707,0.574
Misquested GB,0,0,0.074,0.022
Mafiosa GB,1.66,1.839,0.325,0.248
Martomick GB,0,0,0.598,0.486
Dalus Dawn GB,2.324,0.916,0.613,0.504
Boadiceas Chariot GB,0.83,1.268,0.382,0.254
Thea (USA),2.324,1.14,0.704,0.558
Summer Crush (USA),1.162,1.235,0.588,0.429
Lane Baloo GB,3.874,4.224,0.581,0.457
Colonial Debut (USA),1.453,1.036,0.538,0.388
Miss Ironside GB,1.162,0.777,0.692,0.516
Glamour Stock (USA),1.835,0.961,0.701,0.551
Back On Top (FR),0,0,0.431,0.258
Flying Wind GB,0.401,0.298,0.425,0.272
La Guyonniere (FR),2.905,1.621,0.513,0.426
Clementine Fleurie (FR),0,0,0.629,0.423
Alannah Rose (IRE),4.226,2.375,0.639,0.541
Princess Lizzie (IRE),2.324,4.645,0.334,0.25
Clonroche Floods GB,9.685,2.291,0.833,0.833
Lady Marguerrite GB,1.788,1.118,0.778,0.646
Meldrum Lass GB,0,0,0.292,0.174
Savane III (FR),7.748,5.871,0.949,0.905
Demi Lune De Mars (FR),0,0,0.336,0.189
Buck Maid GB,0,0,0.311,0.218
River Thyne (IRE),0,0,0.6,0.36
Lyntim GB,1.056,1.388,0.611,0.461
Nuit DOr II (FR),0,0,0.315,0.245
Stormy Scene (USA),0,0,0.182,0.103
Russian Gale (IRE),0,0,0.459,0.28
Princesse Sharpo (USA),1.291,0.88,0.499,0.323
Nirvavita (FR),4.649,2.608,0.4,0.4
Fairy Tango (FR),4.842,2,0.717,0.626
Afragha (IRE),4.226,2.07,0.781,0.688
Marital Bliss (FR),0,0,0.833,0.694
Elupa (IRE),0.581,0.575,0.471,0.323
Pacifie Du Charmil (FR),4.649,1.27,0.855,0.754
Page Bleue GB,2.905,1.936,0.577,0.428
Chaturanga GB,3.486,1.41,0.566,0.479
Une De Villeneuve (FR),0,0,0.519,0.412
Cailin Supreme (IRE),9.685,3.073,0.889,0.852
Mariaetta (IRE),2.051,1.224,0.588,0.497
Molly Maguire (IRE),2.324,1.074,0.744,0.616
Castille Collonges (FR),5.811,1.281,0.92,0.853
Jennie Dun (IRE),0.775,0.826,0.74,0.576
Daraliya (IRE),4.649,1.153,0.864,0.766
Glow Again GB,4.358,1.033,0.805,0.753
Dells Dream (IRE),0,0,0.739,0.568
Mother Imelda (IRE),6.641,3.877,0.825,0.748
Sheeghee (IRE),0,0,0.467,0.276
Two Shares GB,0,0,0.343,0.154
Woodbury Princess GB,0,0,0.322,0.182
Corshanna River (IRE),0,0,0.556,0.392
Sidcup Star (IRE),0,0,0.258,0.102
Gan Ainm (IRE),0.726,1.001,0.36,0.235
Shean Bracken (IRE),9.685,3.87,0.833,0.833
Mirmande GB,2.905,2.54,0.64,0.546
Glory-Glory (IRE),3.874,1.65,0.675,0.622
Lucey Allen GB,3.099,1.391,0.606,0.491
Stiritup (IRE),1.011,0.61,0.641,0.485
Pupa Fiorini (ITY),0.968,0.676,0.625,0.501
Dunany Star (IRE),1.66,1.149,0.664,0.509
Second Revolution (IRE),0,0,0.461,0.332
Royal Lucy (IRE),3.576,2.186,0.546,0.441
Pretty Ballerina GB,5.811,3.175,0.742,0.671
Storm Court (IRE),2.905,1.432,0.723,0.612
Beglawella (IRE),2.682,1.543,0.718,0.611
Sea Ring (FR),11.621,6,1,1
Hatta Breeze GB,0,0,0.694,0.545
Cryptic Gold GB,1.937,1.242,0.555,0.402
Dalara (IRE),0,0,0.563,0.377
Pretty Davis (USA),1.937,1.769,0.57,0.412
Vanina II (FR),9.297,3.654,0.911,0.862
Be Claimed (FR),0,0,0.472,0.224
Hawas GB,1.291,0.702,0.588,0.449
Miss Pushover GB,4.981,1.78,0.716,0.618
Timissa (IRE),3.32,1.402,0.603,0.508
Thousand Flowers GB,2.324,1.716,0.69,0.539
Bella Coola GB,2.324,1.849,0.622,0.48
Romantic Rose (IRE),2.324,1.864,0.504,0.408
Sedge Warbler GB,2.324,1.465,0.484,0.337
Oronocco Gift (IRE),0,0,0.639,0.43
Gleann Ard GB,3.32,3.473,0.491,0.389
Ask The Madam GB,2.051,1.333,0.508,0.385
All Licette (FR),0,0,0.262,0.173
Carmen Lady (IRE),2.324,1.785,0.578,0.484
Viva Sacree (FR),2.324,1.12,0.375,0.278
Flair Dante (IRE),11.621,3.78,1,1
Midnight Pond (IRE),2.905,1.682,0.661,0.567
Bouge De La (USA),3.874,2.776,0.892,0.801
Unetiepy (FR),0,0,0.778,0.605
Popie DEcorcei (FR),3.874,1.714,0.806,0.669
Miss Lime GB,0,0,0.787,0.667
Mullaun GB,0,0,0.488,0.277
Nugget Moss GB,1.453,1.218,0.385,0.297
B Final GB,5.811,2.55,0.611,0.525
Ardfallon (IRE),0,0,0.34,0.15
Piney River GB,3.32,3.166,0.428,0.329
Venus De Mirande (FR),3.874,1.593,0.644,0.624
Molakai (USA),5.811,1.48,0.869,0.773
Citizen Levee GB,0,0,0.726,0.562
Magic Slipper GB,1.453,0.918,0.588,0.434
Derby Fox (IRE),0,0,0.517,0.361
Derryclare GB,4.649,1.711,0.857,0.769
Twinkle Sunset GB,0,0,0.622,0.445
Truneba (GER),1.453,1.68,0.566,0.436
Only A Rose GB,0,0,0.381,0.261
Kashmonde (FR),11.621,3.041,1,1
Pimberley Shades GB,0,0,0.515,0.391
No Debt GB,0,0,0.371,0.234
Kilbally Quilty (IRE),2.734,1.425,0.666,0.542
Zandaka (FR),0.894,0.753,0.556,0.397
Glenarff (USA),2.905,1.66,0.43,0.352
Ability (FR),7.748,1.537,0.667,0.667
Luton Flyer GB,1.937,1.98,0.587,0.522
Park Breeze (IRE),3.254,1.27,0.664,0.562
Morganella (FR),0,0,0,0
My Maizey GB,3.874,3.834,0.485,0.402
Killoskehan Queen GB,0,0,0.512,0.334
Catrionas Castle (IRE),0,0,0.571,0.371
Chez Georges GB,2.113,1.205,0.554,0.428
Rosy Waters GB,0.894,1.003,0.36,0.27
Monte DOro (NZ),0,0,0.267,0.149
Cambaria (FR),3.874,0.913,0.935,0.876
Jimshine (FR),0,0,0.625,0.391
Coral Princess GB,3.169,1.167,0.726,0.634
Escopette (FR),0.894,0.288,0.685,0.536
Adjirah (FR),0,0,0.212,0.179
All Blue (FR),3.874,1.868,0.333,0.333
Tsarella GB,3.874,0.818,0.822,0.695
Arratonia (GER),5.811,1.538,0.886,0.807
Easter Baby GB,0,0,0.647,0.457
Enea DAlm (FR),0,0,0.513,0.398
Bale Out GB,1.056,0.421,0.517,0.389
Heavenly Storm (USA),3.32,1.241,0.713,0.567
Miss Gosling GB,5.811,3.385,0.5,0.5
Marble Miller (IRE),1.162,0.612,0.618,0.51
Altaia (FR),1.056,0.881,0.544,0.419
Silver Kristal GB,0,0,0.14,0.035
The Little Bag GB,0,0,0.595,0.531
Hazy Hill GB,0,0,0,0
Cherished Princess (IRE),1.66,0.377,0.664,0.537
Snowy (FR),3.486,3.378,0.713,0.588
Nevermind Hey GB,2.583,2.328,0.602,0.477
Classic Goddess (IRE),0,0,0.179,0.064
Schwarzente (IRE),0,0,0.542,0.443
Teuphaine (FR),0,0,0.256,0.132
Winterland Gale (IRE),3.874,1.215,0.797,0.663
Flashy Looks GB,7.748,3.654,0.792,0.714
Satula GB,1.788,2.103,0.405,0.323
Leilaway GB,0,0,0.109,0.042
Hug In A Fog (IRE),4.649,1.694,0.623,0.515
Let The Hare Run (IRE),1.66,1.084,0.469,0.362
Take A Guess (IRE),0,0,0.702,0.517
Ascot Princess GB,0,0,0.429,0.184
Netherbrook Lass GB,2.905,1.376,0.415,0.306
Rols Du Chatelier (FR),0,0,0.157,0.058
Dutch Majesty GB,1.367,0.617,0.44,0.347
Cherish GB,1.937,1.649,0.407,0.294
Carmels Joy (IRE),1.291,0.851,0.371,0.318
Mayfair GB,0,0,0.357,0.192
Kadastra (FR),0,0,0.168,0.05
Smart Chick GB,1.66,1.384,0.492,0.377
Sister Stephanie (IRE),0,0,0.683,0.489
Nicolynn GB,0,0,0.482,0.343
Attirance I (FR),1.453,0.977,0.464,0.339
Persistent Gunner GB,1.291,1.302,0.649,0.482
Able Mabel I GB,1.162,0.978,0.576,0.425
Sulapuff GB,0,0,0.232,0.085
First Bee GB,0,0,0.029,0.004
Golden Choice GB,1.056,1.055,0.478,0.353
Fairfields Breeze GB,1.453,2.14,0.34,0.216
Winter Sunset GB,1.66,1.524,0.569,0.422
Cinnamon Run GB,2.905,0.968,0.55,0.47
Fortria Rosie Dawn GB,0,0,0.244,0.12
Cadal Queen (FR),0,0,0.132,0.031
Isis GB,2.583,3.659,0.436,0.326
Darjoy GB,0.894,0.558,0.432,0.297
Lucky House GB,0,0,0.291,0.155
Tuney Blade (IRE),0.83,1.13,0.2,0.162
Bold Kate GB,0,0,0.37,0.193
Chiminee Fly GB,0,0,0.671,0.492
Tizona GB,0,0,0.34,0.171
Stoney Broke I GB,0,0,0.151,0.05
Athena De LIsle (FR),0,0,0.222,0.099
Rive Tartare (FR),5.811,1.36,0.729,0.648
Western Heights GB,1.66,1.44,0.502,0.338
Terre DArgent (FR),0,0,0.345,0.285
Lower The Tone (IRE),3.874,3.352,0.69,0.619
Panel Pin GB,0.775,0.476,0.631,0.481
Miss Coco I (FR),0,0,0.318,0.202
Zephyrelle (IRE),0,0,0.424,0.323
Sudden Decision GB,2.324,2.144,0.617,0.511
Marina Bird GB,2.324,1.059,0.626,0.519
Ower Farm GB,0,0,0.544,0.359
Elag GB,0,0,0.376,0.184
Jaydeebee GB,0,0,0.645,0.436
Hard Love GB,0,0,0.557,0.383
Miss Lawn (FR),0,0,0.213,0.069
Flying Cherub GB,0,0,0.143,0.02
Christys Girl (IRE),2.49,1.206,0.492,0.435
Decent Preacher GB,0.612,0.439,0.581,0.435
Brave Ruby GB,2.324,0.851,0.81,0.669
Puki Puki GB,0.968,0.406,0.725,0.6
Quiet Dawn GB,0,0,0.373,0.237
Try Le Reste (IRE),1.937,1.004,0.68,0.568
LIrlandaise (USA),0,0,0.24,0.133
Royal Desire GB,0,0,0.233,0.163
Pallanda GB,0,0,0.125,0.035
Flaming Fox GB,0,0,0,0
Sugar Hall GB,0,0,0,0
Kilbricken Bay (IRE),0,0,0,0
Heresy (IRE),0.894,1.483,0.324,0.228
Punctual GB,0,0,0.296,0.204
Edina (IRE),0,0,0.17,0.047
Castlemagner (IRE),0,0,0.281,0.146
Secret Romance I GB,1.162,1.025,0.562,0.418
Bonny Joe GB,3.169,3.252,0.546,0.443
Hereke GB,0,0,0.3,0.18
Flying Joker GB,7.748,2.874,0.8,0.72
Sun Goddess (FR),0,0,0.188,0.141
Unveiled GB,1.937,1.261,0.717,0.544
Jacks The Girl (IRE),0,0,0.401,0.324
Win For Leah (USA),2.583,1.274,0.624,0.517
Thai Nang GB,0,0,0.353,0.192
Miss Bobby Bennett GB,4.358,2.188,0.627,0.538
Timissara (USA),1.453,1.329,0.683,0.492
Marsden Rock GB,0,0,0.348,0.228
Heathyards Lady (USA),1.291,1.219,0.584,0.442
Une De Mee (FR),1.291,1.05,0.531,0.381
Arch Angel (IRE),2.49,1.757,0.567,0.421
Hetty Green GB,2.152,1.426,0.592,0.469
East Riding (FR),2.905,0.849,0.564,0.423
Anatomic I GB,0,0,0.259,0.126
Incamelia GB,0,0,0.167,0.083
Hirlish (FR),3.874,1.537,0.733,0.608
Angies Darling GB,2.905,1.026,0.76,0.624
Live It Up GB,0.775,0.498,0.572,0.434
Lesbet GB,0,0,0.575,0.447
Bonnie Isle GB,3.874,1.016,0.897,0.812
Runaway Pilot GB,1.162,0.81,0.496,0.385
Moss GB,0,0,0.186,0.06
Hymne DAmour (USA),0,0,0.455,0.304
Polar Belle GB,4.226,1.182,0.667,0.553
Jordans Pet (IRE),0.894,0.606,0.459,0.293
Larrys Law (IRE),0,0,0.58,0.504
Light Tonight GB,1.66,1.465,0.459,0.378
Queens Dowry GB,1.291,1.394,0.217,0.163
Brides Choice GB,0,0,0.285,0.173
Hand Out GB,4.981,3.766,0.79,0.667
Kerry Minstrel GB,0,0,0.234,0.163
Game Sunset GB,5.811,1.5,0.855,0.755
Ardglass Mist GB,0.83,0.5,0.583,0.429
Little Red Spider GB,0,0,0.617,0.455
Gabibti (IRE),0,0,0.404,0.171
Lady Sallyanna (IRE),0,0,0.416,0.249
Belle Des Belles (FR),0,0,0.388,0.181
Craic Go Leor GB,0,0,0.396,0.241
Craberi Flash Foot GB,0,0,0,0
Lake Mariner GB,0,0,0.102,0.027
Cabin Glory GB,3.32,2.644,0.621,0.448
Railstown Phairy (IRE),1.162,1.561,0.334,0.212
Prospect Lady (IRE),2.324,1.142,0.3,0.25
Dokki (USA),2.905,1.669,0.795,0.688
Party Woman (IRE),0,0,0.435,0.275
Ah Ye Know GB,0,0,0.234,0.166
Tintomara (IRE),0,0,0.293,0.172
Sea Spray (IRE),0,0,0.079,0.015
Passing Beauty GB,0,0,0.167,0.056
Fee La Maline (FR),2.324,0.691,0.645,0.514
Dynamite Flyer (USA),0,0,0.385,0.234
Rainbow Gurriers (IRE),0,0,0.242,0.115
Ebony Jane GB,0.646,0.429,0.559,0.397
Wintry Shower GB,0,0,0.477,0.292
Icy Miss GB,0,0,0.34,0.213
Cool Anne GB,0,0,0.436,0.272
Wilden GB,0,0,0,0
Blue Mount (IRE),1.453,1.276,0.488,0.34
Rosie OKeeffe (IRE),0,0,0.382,0.272
Haratiyna GB,3.32,1.639,0.503,0.431
Tinkers Lady (IRE),4.649,2.355,0.627,0.55
Va Thou Line (FR),3.874,2.25,0.467,0.387
Cindys Baby GB,2.021,1.634,0.507,0.368
Mortify GB,0,0,0.45,0.314
Taras Serenade (IRE),0,0,0.746,0.563
Rouge Folie (FR),0,0,0.371,0.243
Fortuna Jet (FR),2.905,1.535,0.774,0.667
Upper Caen GB,0,0,0.204,0.057
Gentle Thoughts GB,2.051,1.769,0.568,0.449
Miss Sarajane GB,11.621,201,1,1
Sky Wave GB,1.162,0.832,0.627,0.512
Shining Willow GB,0.968,0.515,0.732,0.573
Lamakara (FR),0,0,0.74,0.573
Annies Alkali GB,1.66,1.514,0.456,0.334
Usk The Way GB,2.113,1.67,0.403,0.324
Sharnad (IRE),0,0,0.423,0.275
DullUn GB,0,0,0.201,0.078
Linoise (FR),1.66,0.977,0.441,0.352
Leo Girl (USA),0,0,0.433,0.31
Valagalore GB,0,0,0.4,0.218
Yazeanhaa (USA),0,0,0.158,0.096
On A Dream GB,1.162,0.751,0.405,0.294
Aghate De Saisy (FR),0,0,0.456,0.288
Space Kate GB,2.905,1.456,0.655,0.526
Promitto GB,0,0,0.333,0.111
Bellekino GB,0,0,0.222,0.148
Doonaree Belle (IRE),0,0,0.402,0.271
Preachers Gem GB,0,0,0.331,0.215
Slipalong GB,0,0,0,0
Margaret Modes GB,0,0,0.378,0.207
Asterie LErmitage (FR),0,0,0.691,0.484
Danse Royale (IRE),0.968,1.078,0.402,0.261
Dissolve GB,2.324,1.142,0.697,0.546
Dakota Girl GB,2.324,1.324,0.8,0.677
Bettys Girl GB,0,0,0.423,0.281
Hello Aris (IRE),0,0,0.615,0.379
Rositary (FR),0,0,0.695,0.538
La Belle Shyanne GB,0,0,0.269,0.123
Polly Washdish GB,0,0,0.308,0.095
Mountain Grove GB,0,0,0.302,0.1
Julie Du Berlais (FR),0,0,0.418,0.291
Monalind (GER),0,0,0.077,0.006
Puff Puff GB,0,0,0.667,0.472
Mikeys Monkey GB,0,0,0.401,0.24
Annie Kelly GB,0,0,0.266,0.119
Setais Palace GB,0,0,0.465,0.295
Bambolona GB,0.684,0.685,0.389,0.243
Cynthia (FR),3.874,2.749,0.737,0.596
Redondo Beach GB,0,0,0.5,0.27
Mamouna (USA),0,0,0.38,0.222
Necochea GB,2.021,1.305,0.474,0.353
Idle Chat (USA),0,0,0.499,0.351
Loyalize (USA),0,0,0,0
Shining Cloud GB,0.83,0.927,0.441,0.266
Clonmeen Lodge (IRE),0,0,0.164,0.051
Miss Sarajevo (IRE),5.811,1.417,0.7,0.66
Autumn Queen (IRE),0,0,0.617,0.404
Relatively Easy GB,0,0,0.405,0.217
White Beau GB,0,0,0.205,0.167
Riversdale Shadow GB,1.66,2.455,0.232,0.199
Cap Reform (IRE),0,0,0.224,0.126
Derring Slipper GB,0,0,0.208,0.13
Tamers Belle GB,1.453,1.32,0.515,0.391
Hard Riche GB,0,0,0.25,0.188
Sweet Fortune GB,0,0,0.133,0.053
Pigeon Loft (IRE),0,0,0.462,0.3
Visor (USA),1.66,1.127,0.375,0.231
Egeria I (FR),0,0,0.366,0.229
Honeyed (IRE),2.324,0.902,0.781,0.629
Some Gossip GB,0,0,0.784,0.624
Neladar GB,0,0,0.4,0.268
Charmed Im Sure GB,0,0,0.43,0.276
Glittering Grit (IRE),1.937,3.064,0.788,0.637
Aussieannie (IRE),0,0,0.586,0.398
Jacks Sister (IRE),1.056,0.701,0.542,0.414
Flora Louisa GB,1.291,1.136,0.483,0.332
Tapua Taranata (IRE),0.894,0.509,0.403,0.262
Prairie Lila (GER),3.874,2.295,0.556,0.481
Queen Of The Celts GB,0,0,0.045,0.008
Broken Spirit (IRE),0.942,0.818,0.572,0.427
Magic Arts (IRE),0,0,0.462,0.426
Bannas Lady (IRE),0,0,0.717,0.528
Spinage (FR),2.324,1.497,0.605,0.481
No More Rosies GB,0,0,0.301,0.16
Mendick Adventure GB,0,0,0.203,0.082
New Chello (IRE),1.453,1.183,0.592,0.417
Luly My Love GB,0,0,0.235,0.09
Gezalle GB,0,0,0.397,0.289
Segovia GB,0,0,0.409,0.226
Risanda GB,0.968,0.829,0.443,0.28
Northern Quay GB,0,0,0.093,0.013
Tudor Lilly GB,0,0,0,0
Aunty Dawn (IRE),0,0,0.506,0.364
Judys Line GB,0,0,0.417,0.268
Derravarragh Lady (IRE),0.684,0.347,0.591,0.458
Miss Good Night GB,1.291,1.16,0.511,0.394
Cadoudaline (FR),2.583,1.848,0.542,0.482
Poppys Pride GB,1.937,1.137,0.631,0.444
Concert Peace (USA),0,0,0.398,0.259
Coole Dolly Day GB,0,0,0.669,0.519
Kardinia (NZ),0,0,0.15,0.034
Merry Cherry GB,3.874,2.256,0.521,0.451
Ice Cream Girl GB,0,0,0.889,0.79
Misty Venture GB,0,0,0.746,0.558
Sabev (USA),0,0,0.667,0.444
Shadey Dove GB,0,0,0.556,0.309
Mary Deen GB,0,0,0.111,0.049
Head Lass GB,0,0,0,0
Sea Spice GB,0,0,0.391,0.278
Francies Treble GB,1.66,0.605,0.726,0.559
Saxon Lass GB,0,0,0.276,0.088
Ultimate Beat (USA),3.058,1.562,0.771,0.648
Starway To Heaven (ITY),0.968,0.946,0.491,0.344
Stellar Empress (USA),4.649,3.259,0.927,0.864
Eliza Jane GB,0,0,0.428,0.249
Pips Dream GB,0.646,0.913,0.436,0.318
Wee Merkin (IRE),0,0,0.353,0.178
My Gloria (IRE),0,0,0.563,0.351
Arctic Lead (USA),1.66,1.243,0.534,0.38
Pamina (IRE),0.894,0.795,0.492,0.333
Birthday Venture GB,1.937,1.671,0.644,0.501
Maraatib (IRE),1.66,0.611,0.793,0.665
Surprise Surprise GB,1.453,1.049,0.612,0.434
Loriners Lass GB,0,0,0.614,0.467
Crime Ofthecentury GB,2.113,1.389,0.637,0.474
Sweet Symphony (IRE),0,0,0.142,0.033
Bijou Princess GB,0,0,0.078,0.01
Broughtons Lure (IRE),1.453,1.309,0.506,0.366
Hey Ghaz (USA),0,0,0.509,0.339
Zakota (IRE),2.113,1.811,0.537,0.39
Pine Needle GB,0.83,0.657,0.554,0.429
Anitas Contessa (IRE),0,0,0.318,0.16
Riverine GB,1.367,1.513,0.504,0.393
Fair Seas GB,1.66,0.89,0.509,0.386
Blueprint (USA),0,0,0.445,0.263
Resume (IRE),1.245,1.033,0.652,0.497
Flame Valley (USA),1.453,1.925,0.48,0.303
Russian Rose (IRE),0,0,0.447,0.289
Catch The Lights GB,1.788,1.282,0.62,0.497
Shalateeno GB,0,0,0.218,0.06
Trois Heures Apres GB,1.453,0.955,0.443,0.314
Princess Foley (IRE),0,0,0.233,0.097
Principessa (USA),0,0,0.454,0.278
Bonnie Lassie GB,1.056,0.919,0.662,0.522
Little Tich GB,1.937,1.185,0.633,0.468
Broadmara (IRE),1.341,0.744,0.729,0.598
Kukri GB,0,0,0.584,0.383
Centella (IRE),2.179,2.015,0.599,0.443
Belle De Cadix (IRE),0.83,0.579,0.466,0.312
Atlantic Dream I (USA),1.937,0.642,0.733,0.599
Serenity GB,1.937,2.068,0.428,0.311
Pinkie Rose (FR),0,0,0.463,0.305
Zafarana (FR),0.93,0.719,0.603,0.425
Al Sylah GB,3.058,1.944,0.624,0.507
Summer Retreat (USA),0.861,0.765,0.528,0.39
Irish Understudy (ITY),2.324,1.209,0.66,0.497
Caerosa GB,2.905,0.741,0.593,0.47
Clashfern GB,0.726,0.774,0.375,0.23
Complimentary Pass GB,2.905,3.71,0.616,0.485
Peshawar GB,0,0,0.213,0.069
La Nureyeva (USA),0,0,0.179,0.064
Yahe (IRE),0,0,0.091,0.025
Magnolia GB,0,0,0.582,0.371
Secrets Of Honour GB,1.409,1.117,0.615,0.449
Lady Lacey GB,0.894,0.937,0.418,0.268
Gayane GB,0.704,0.452,0.517,0.369
Severine (USA),1.056,0.852,0.588,0.409
April Magic GB,2.324,2.085,0.623,0.471
Beveled Edge GB,1.453,1.291,0.675,0.528
Kazoo GB,0,0,0.645,0.459
Fairybird (FR),1.937,1.56,0.551,0.428
Tidal Reach (USA),0.775,0.792,0.498,0.315
Remiss (IRE),0,0,0.262,0.108
Rakli GB,2.324,1.249,0.707,0.572
Khudud GB,0,0,0.514,0.351
Silvers Era GB,0,0,0.292,0.17
Sinking GB,2.583,2.756,0.58,0.426
Exotic Forest GB,0.968,0.734,0.601,0.424
Island Heather (IRE),0,0,0.457,0.316
Dalby Dancer GB,0,0,0.416,0.212
Didicoy (USA),1.056,1.207,0.289,0.169
Circo GB,0.581,0.521,0.539,0.358
Rechanit (IRE),1.162,0.849,0.681,0.511
Gold Linnet GB,2.905,2.142,0.535,0.408
Liaison I (USA),0.505,0.403,0.502,0.37
Vanishing Point I (USA),0,0,0.559,0.405
Ballystate GB,1.011,1,0.563,0.409
Double River (USA),0.85,0.875,0.459,0.303
Beltisaal (FR),1.937,1.564,0.732,0.587
Beyrouth (USA),2.235,1.472,0.702,0.563
Misniniski GB,1.937,1.085,0.633,0.535
Mystic Thoughts (IRE),0,0,0.273,0.13
Away To Me GB,0,0,0.452,0.289
On The Tide GB,1.55,0.561,0.724,0.605
Clog Dance GB,2.905,1.706,0.652,0.545
Heart So Blue GB,1.788,2.148,0.522,0.383
Looks Sensational (USA),1.291,1.418,0.411,0.279
Wild Bluebell (IRE),0,0,0.34,0.144
Polisonne GB,0.83,1.432,0.453,0.301
Maytime GB,0,0,0.453,0.249
Seabound GB,1.66,1.406,0.598,0.423
Moly GB,0.775,1.064,0.48,0.313
Risalah GB,1.107,0.836,0.594,0.456
Themeda GB,0.894,0.628,0.452,0.318
Diamond Vanessa (IRE),1.937,1.731,0.515,0.346
