horse,IV,A/E,PRB,PRB2
Thegeordieduchess (IRE),0,0,0.293,0.086
Globe Pearl (IRE),0,0,0.198,0.039
Inmate (IRE),0,0,0.139,0.029
Esreen (GB),0,0,0.046,0.003
Clip On (GB),0,0,0.062,0.008
Super Boston (GB),1.291,1.652,0.534,0.363
Francken (ITY),0,0,0.632,0.473
Frankincense I (IRE),0,0,0.633,0.471
Amber Go Go (GB),0,0,0.336,0.202
Not Amused (UAE),0,0,0.544,0.356
Karyon (IRE),0,0,0.296,0.152
Idlewild (IRE),1.223,1.394,0.538,0.377
Prince Adjal (IRE),0.894,0.667,0.544,0.381
Twist N Turn (GB),0,0,0.399,0.259
Jack Flush (IRE),0,0,0.403,0.254
Northern Friend (GB),0,0,0.468,0.331
Blaise Wood (USA),0,0,0.172,0.065
Strait Talking (FR),0,0,0.067,0.004
Moment Of Madness (IRE),5.811,7.219,0.5,0.5
Kalou (GER),1.056,0.691,0.597,0.463
Oso Magic (GB),4.981,1.311,0.749,0.668
Ashnaya (FR),2.905,1.581,0.777,0.639
Double Blade (GB),0,0,0.627,0.402
Dabus (GB),0,0,0.273,0.14
LOiseau (FR),4.649,1.662,0.685,0.609
Kylie Time (IRE),0,0,0,0
Dont Call Me Derek (GB),5.811,1.493,0.7,0.641
Coming Again (IRE),0,0,0.605,0.465
Hue (GB),0,0,0.677,0.537
Nounou (GB),2.905,1.575,0.718,0.591
Bollin Annabel (GB),1.453,0.781,0.606,0.461
Sunisa (IRE),1.453,1.378,0.66,0.497
Rehearsal (GB),1.162,0.449,0.646,0.506
Spes Bona (USA),0,0,0.236,0.095
A Monk Swimming (IRE),0,0,0.249,0.148
Apsara (GB),0,0,0.417,0.25
Thornton Charlotte (GB),0,0,0.174,0.043
Washbrook (GB),0,0,0.285,0.117
Quay Walloper (GB),0,0,0.162,0.058
Pagan Ceremony (USA),0,0,0.018,0.001
Royaltea (GB),0,0,0.413,0.259
Government I (IRE),0,0,0.149,0.068
Omni Cosmo Touch (USA),5.811,4.923,0.808,0.732
No Picnic (IRE),0,0,0.437,0.271
Brush A King (GB),0,0,0.433,0.313
A Few Bob Back (IRE),3.32,1.749,0.646,0.528
Mr Woodentop (IRE),0,0,0.583,0.34
Political Sox (GB),0,0,0.37,0.176
Lanzlo (FR),1.453,0.991,0.514,0.435
The Quads (GB),0,0,0,0
Florries Son (GB),0,0,0,0
Enzo De Baune (FR),1.66,0.944,0.589,0.455
Sound Of Cheers (GB),0,0,0.427,0.256
Deep Water (USA),0,0,0.422,0.266
World Vision (IRE),1.291,0.736,0.549,0.42
Hope Sound (IRE),0,0,0.328,0.177
Why The Long Face (NZ),0,0,0.398,0.243
Man Murphy (IRE),0,0,0,0
Classic Capers (GB),3.874,3.136,0.688,0.596
Italiano (GB),1.453,1.163,0.621,0.466
Classical Ben (GB),5.811,1.754,0.867,0.775
Presenting Alf (IRE),0,0,0.545,0.312
Ryhall (IRE),1.937,1.075,0.597,0.45
Minster Missile (GB),0,0,0.407,0.197
Chamacco (FR),0,0,0.456,0.334
Ballinruane (IRE),0,0,0.234,0.077
Cottys Rock (IRE),0,0,0.128,0.032
What A Night (GB),0,0,0.346,0.127
Sister OMalley (IRE),0,0,0.147,0.029
Zeydnaa (IRE),0.894,1.607,0.47,0.336
No Gloating (IRE),0,0,0,0
