horse,IV,A/E,PRB,PRB2
Off Spin (GB),5.811,4.849,0.556,0.506
Rimsky (IRE),4.358,2.684,0.667,0.607
Fasgo (IRE),0,0,0.5,0.25
Jiver (IRE),0,0,0.468,0.308
Dix Villez (FR),2.583,0.937,0.762,0.631
Mamideos (IRE),0,0,0,0
Lord Who (IRE),1.453,1.149,0.519,0.388
Tiger Cry (IRE),3.874,1.913,0.805,0.711
Full Irish I (IRE),2.905,1.689,0.479,0.384
Lord Jack (IRE),0,0,0.445,0.313
Oh My Lord (IRE),0,0,0.532,0.43
LAventure (FR),1.66,1.314,0.711,0.537
Il De Boitron (FR),0,0,0.515,0.322
Wildfield Rufo (IRE),1.162,0.895,0.453,0.31
Historg (FR),0,0,0.157,0.062
Native Ray (IRE),0,0,0.498,0.352
Multi Talented (IRE),1.291,1.344,0.453,0.283
Grumpy Stumpy (GB),0,0,0.443,0.328
Good Step (IRE),2.583,1.945,0.669,0.555
Church Island (IRE),3.874,1.492,0.702,0.622
Celtic Son (FR),5.811,1.167,0.711,0.68
Fisherman Jack (GB),0,0,0.55,0.305
Battling Buster (IRE),0,0,0.062,0.016
Water King (USA),2.905,1.792,0.673,0.612
Mouftari (USA),1.788,0.836,0.674,0.535
Newtown Dancer (IRE),1.011,0.779,0.656,0.535
Astyanax (IRE),1.453,0.671,0.763,0.611
Helm (IRE),0,0,0.529,0.348
Good Thyne Jack (IRE),4.649,2.416,0.744,0.598
Michaels Dream (IRE),3.169,2.637,0.685,0.553
Nassaro (IRE),1.291,1.116,0.688,0.525
Better Think Again (IRE),0,0,0.12,0.057
Montevideo (GB),0,0,0.162,0.059
Oxybau (FR),2.324,1.723,0.6,0.446
Allstar Leader (IRE),4.649,4.761,0.707,0.574
Take A Drop I (IRE),0,0,0.074,0.022
Gan Eagla (IRE),1.937,1.945,0.365,0.288
Martovic (IRE),0,0,0.563,0.451
Not Left Yet (IRE),2.324,0.916,0.613,0.504
Green Iceni (GB),3.874,2.293,0.934,0.876
Abragante (IRE),1.66,0.673,0.615,0.501
Dare To Dance (GB),1.453,0.893,0.744,0.594
Havetoavit (USA),1.162,1.235,0.588,0.429
Lucky Do (IRE),3.874,4.224,0.581,0.457
Danticat (USA),1.056,1.534,0.397,0.234
United Spirit (IRE),1.367,1.457,0.513,0.336
Alternative Route (IRE),1.453,0.871,0.73,0.573
Kylebeg Dancer (IRE),1.835,0.961,0.701,0.551
Emmasflora (GB),1.66,1.588,0.693,0.535
Mokum (FR),0,0,0.431,0.258
Random Quest (GB),1.453,1.427,0.355,0.232
Flying Patriarch (GB),0,0,0.51,0.331
Crozan (FR),5.811,2.1,0.625,0.531
Garde Champetre (FR),0,0,0.629,0.423
Doctor Linton (IRE),4.226,2.375,0.639,0.541
Yardbird (IRE),5.811,15.989,0.5,0.5
Standin Obligation (IRE),9.685,2.291,0.833,0.833
Oodachee (GB),1.788,1.118,0.778,0.646
World Wide Web (IRE),0,0,0.292,0.174
Glacial Evening (IRE),0,0,0.317,0.251
Holland Park (IRE),3.32,2.608,0.438,0.354
Innox (FR),7.748,5.871,0.949,0.905
Montayral (FR),0,0,0.336,0.189
Merchants Friend (IRE),0,0,0.311,0.218
A Glass In Thyne (IRE),0,0,0.6,0.36
Jack High (IRE),1.291,1.577,0.593,0.45
First Gold (FR),0,0,0.315,0.245
Stormez (FR),0,0,0.182,0.103
Lord Sam (IRE),0,0,0.382,0.292
Forget The Past (GB),2.324,1.1,0.709,0.554
East Tycoon (IRE),1.937,0.963,0.554,0.395
Full House (IRE),4.649,2.608,0.4,0.4
Fair Along (GER),4.842,2,0.717,0.626
Afsoun (FR),5.811,1.492,0.958,0.92
Kasbah Bliss (FR),0,0,0.833,0.694
Le Corvee (IRE),1.453,0.875,0.487,0.35
Patman Du Charmil (FR),5.811,1.651,0.86,0.769
Palace Walk (FR),2.905,1.936,0.577,0.428
Battledress (IRE),3.486,1.41,0.566,0.479
One More Time (FR),0,0,0.519,0.412
Black Jack Ketchum (IRE),11.621,2.885,1,1
Powerstation (IRE),3.32,1.321,0.874,0.802
Massinis Maguire (IRE),2.324,0.64,0.839,0.716
Neptune Collonges (FR),5.811,1.281,0.92,0.853
The Spoonplayer (IRE),1.937,2.353,0.729,0.558
Circassian (IRE),4.649,1.153,0.864,0.766
Naples (GB),4.358,1.033,0.805,0.753
The Squatter (IRE),0,0,0.739,0.568
Robert (IRE),5.811,3.838,0.796,0.707
Alphabetical (IRE),0,0,0.658,0.458
Too Posh To Share (GB),0,0,0.343,0.154
Seomra Hocht (IRE),0,0,0.407,0.257
Flash Cummins (IRE),0,0,0.556,0.392
Sidcups Gold (IRE),0,0,0.258,0.102
Joe McHugh (IRE),0,0,0.238,0.094
Iloveturtle (IRE),0,0,0.179,0.075
Jeremy Cuddle Duck (IRE),8.716,3.236,0.75,0.75
Hordago (IRE),2.905,2.54,0.64,0.546
Il Duce (IRE),3.32,1.289,0.674,0.64
Manx Royal (FR),2.324,1.123,0.761,0.624
Millanymare (IRE),2.324,1.389,0.49,0.373
Rights Of Man (IRE),1.55,0.772,0.727,0.589
Jockser (IRE),0.968,0.676,0.625,0.501
Rory Sunset (IRE),0,0,0.522,0.347
Urban (IRE),0,0,0.461,0.332
Valley Ride (IRE),7.748,3.003,0.705,0.675
Waltzing Beau (GB),3.874,7.361,0.505,0.381
Pretty Star (GER),5.811,3.175,0.742,0.671
Nippy Des Mottes (FR),2.324,0.656,0.644,0.537
Owennacurra Bobby (IRE),2.113,2.28,0.502,0.407
Albuhera (IRE),4.649,1.741,0.772,0.656
Davenport Democrat (IRE),3.874,1.728,0.713,0.616
Master Ofthe Chase (IRE),3.874,2.085,0.777,0.672
Mattys Joy (IRE),0.894,0.726,0.536,0.42
Lingo (IRE),11.621,6,1,1
Tramantano (GB),0,0,0.694,0.545
Adamant Approach (IRE),0,0,0.684,0.507
Handy Money (GB),4.649,2.663,0.815,0.69
Dalaram (IRE),0,0,0.506,0.329
Fait Le Jojo (FR),2.905,3.068,0.757,0.595
Mighty Man (FR),9.297,3.654,0.911,0.862
Dont Be Shy (FR),0,0,0.472,0.224
Power Elite (IRE),2.905,1.054,0.708,0.587
Yes Sir (IRE),4.981,1.78,0.716,0.618
Eye Candy (IRE),3.32,1.402,0.603,0.508
Dantes Reef (IRE),2.324,1.716,0.69,0.539
Cosmocrat (GB),2.905,2.07,0.658,0.534
Meggies Beau (IRE),2.905,2.027,0.469,0.404
Moorlands Again (GB),2.324,1.799,0.613,0.5
Cettis Warbler (GB),2.324,1.465,0.484,0.337
Prince Of Pleasure (IRE),0,0,0.639,0.43
Charging (IRE),3.874,4.124,0.573,0.454
Acertack (IRE),1.291,0.971,0.48,0.361
All Sonsilver (FR),0,0,0.262,0.173
Newratking (IRE),0,0,0.133,0.038
Gazump (FR),2.324,1.12,0.375,0.278
Leading Contender (IRE),11.621,3.78,1,1
Midnight Gift (IRE),2.905,1.682,0.661,0.567
Go Silver Bullet (FR),3.874,2.776,0.892,0.801
Molostiep (FR),0,0,0.778,0.605
Kaldouas (FR),3.874,1.714,0.806,0.669
Reach For The Top (IRE),0,0,0.46,0.22
Limestream (IRE),0,0,0.787,0.667
Go Commercial (IRE),0,0,0.292,0.087
Asudo (IRE),3.874,2.057,0.735,0.646
Star Shot (IRE),5.811,2.55,0.611,0.525
Bamby (IRE),0,0,0.34,0.15
Crossing (GB),5.811,4.362,0.635,0.549
Mars Rock (FR),3.874,1.593,0.644,0.624
Noland (GB),5.811,1.48,0.869,0.773
Good Citizen (IRE),0,0,0.726,0.562
Krismas Cracker (GB),0,0,0.248,0.071
Foxtrot Yankee (IRE),0,0,0.538,0.408
Billyvoddan (IRE),4.649,1.711,0.857,0.769
Glacial Sunset (IRE),0,0,0.833,0.694
True Lover (GER),0,0,0.408,0.232
Rosarian (IRE),0,0,0,0
Ivoire De Beaulieu (FR),11.621,3.041,1,1
Shady Lad (IRE),0,0,0.625,0.492
Inca Trail (IRE),3.874,2.27,0.722,0.566
Just In Debt (IRE),0,0,0.416,0.314
Catch The Perk (IRE),2.905,1.387,0.643,0.528
Star Performance (IRE),0,0,0.488,0.272
Critical Stage (IRE),0.968,0.781,0.555,0.402
Always Waining (IRE),3.874,1.81,0.522,0.446
Nous Voila (FR),7.748,1.537,0.667,0.667
All In The Stars (IRE),1.937,1.98,0.587,0.522
Fork Lightning (IRE),0,0,0.8,0.64
Exit Swinger (FR),0,0,0,0
Lord Maizey (IRE),3.874,3.834,0.485,0.402
Lord Dundaniel (IRE),0,0,0.564,0.404
Moscow Leader (IRE),0,0,0.571,0.371
The Extra Man (IRE),1.453,0.729,0.471,0.349
Blitzy Boy (IRE),0.968,1.087,0.367,0.286
Uncle Wallace (GB),1.937,0.963,0.387,0.255
Our Armageddon (NZ),0,0,0.4,0.16
Turko (FR),3.874,0.913,0.935,0.876
Desert Jim (FR),0,0,0.625,0.391
Tribal Dispute (GB),3.169,1.167,0.726,0.634
Escompteur (FR),0.894,0.288,0.685,0.536
Le Seychellois (FR),0,0,0.212,0.179
Provocative (FR),3.874,1.868,0.333,0.333
Sporazene (IRE),0,0,0.292,0.151
Gungadu (GB),3.874,0.818,0.822,0.695
Amicelli (GER),5.811,1.538,0.886,0.807
Marjina (GB),7.748,1.862,0.833,0.75
Kayleigh (IRE),0,0,0.647,0.457
LatzodAlm (FR),0,0,0.513,0.398
Ho Ho Hill (IRE),1.056,0.421,0.517,0.389
Harry Potter (GER),3.32,1.241,0.713,0.567
The Duckpond (IRE),5.811,3.385,0.5,0.5
Dusty Bandit (IRE),2.324,1.004,0.585,0.471
Alessandro Severo (GB),1.291,1.235,0.519,0.406
Hat Trick Man (GB),0,0,0.14,0.035
Keltic Blue (IRE),0,0,0,0
Hever Road (IRE),0,0,0.595,0.531
Cinque (IRE),0,0,0,0
Kellys Fable (GB),0,0,0.283,0.156
Cherry Generation (IRE),0,0,0,0
Devito (FR),3.486,3.378,0.713,0.588
Chickapeakray (GB),2.583,2.328,0.602,0.477
Bosco (IRE),0,0,0.179,0.064
Sonnant (FR),0,0,0.542,0.443
Jamerosier (FR),0,0,0.468,0.251
Were In Touch (IRE),3.874,1.215,0.797,0.663
Change Agent (GB),7.748,3.654,0.792,0.714
General Duroc (IRE),2.113,2.368,0.454,0.376
Twenty To Eight (GB),0,0,0.109,0.042
El Hombre Del Rio (IRE),2.324,1.685,0.396,0.268
Coursing Run (IRE),2.324,1.726,0.46,0.386
Legatus (IRE),0,0,0.82,0.678
Jim Jam Joey (IRE),0,0,0.429,0.184
Broadbrook Lass (GB),2.905,1.376,0.415,0.306
Garolsa (FR),0,0,0.157,0.058
Barton Nic (GB),2.905,0.768,0.462,0.429
Advance East (GB),0,0,0.408,0.292
Calon Lan (IRE),1.937,1.649,0.407,0.294
Trenance (GB),1.291,0.851,0.371,0.318
SouWester (GB),0,0,0.357,0.192
Kadito (GB),0,0,0.168,0.05
Fairly Smart (GB),2.324,1.428,0.627,0.509
Royal Niece (IRE),0,0,0.683,0.489
Miss Rideamight (GB),0,0,0.482,0.343
Caballe (USA),1.453,0.977,0.464,0.339
La Marette (GB),1.453,1.328,0.712,0.54
Mrs Pickles (GB),1.162,0.978,0.576,0.425
Puff At Midnight (GB),0,0,0.232,0.085
Bluetoria (GB),0,0,0.318,0.157
Spring Bee (GB),0,0,0.029,0.004
Titian Flame (IRE),1.056,1.055,0.478,0.353
Lilac (GB),1.453,2.14,0.34,0.216
Elfkirk (IRE),1.66,1.524,0.569,0.422
Sister Cinnamon (GB),2.905,0.772,0.496,0.438
Miss Fahrenheit (IRE),0,0,0.336,0.183
Sweet Shooter (GB),0,0,0.333,0.148
Afzal Rose (GB),0,0,0.244,0.12
Lady Loveday (GB),0,0,0.132,0.031
Philson Run (IRE),3.874,4.316,0.497,0.426
Prominent Profile (IRE),0,0,0.338,0.185
Tipsy Mouse (IRE),0,0,0.479,0.294
Lucky Leader (IRE),0,0,0.322,0.194
Trust Fund (IRE),1.937,2.515,0.43,0.374
Periwinkle Lad (IRE),0,0,0.37,0.193
Smokestack (IRE),0,0,0.386,0.162
Taffrail (GB),0,0,0.416,0.236
Redde (IRE),0,0,0.151,0.05
Ismene (FR),0,0,0.222,0.099
Chef Tartare (FR),5.811,1.36,0.729,0.648
Dollar Law (GB),1.66,1.44,0.502,0.338
Terre De Java (FR),0,0,0.345,0.285
Briareus (GB),5.811,3.856,0.955,0.913
Five Alley (IRE),0.894,0.509,0.647,0.51
Royal Katidoki (FR),0,0,0.318,0.202
Kingtobee (IRE),0,0,0.152,0.069
Abraham Smith (GB),0,0,0.615,0.438
Dont Matter (GB),0,0,0,0
Layasar (GB),0,0,0.333,0.222
Youwontcatchmenow (IRE),11.621,6.5,1,1
Ballybawn House (GB),0,0,0.678,0.481
Pearly Bay (GB),2.324,1.059,0.626,0.519
Brandy Bay I (GB),0,0,0.544,0.359
Create A Storm (IRE),0,0,0.376,0.184
Jades Double (GB),0,0,0.645,0.436
Classical Love (GB),0,0,0.567,0.376
Bourneagainkristen (GB),0,0,0.213,0.069
Bickwell (GB),0,0,0.143,0.02
South Sands (IRE),0,0,0.247,0.118
Robber (IRE),3.486,1.265,0.618,0.559
Dun Locha Castle (IRE),0.894,0.63,0.609,0.474
Up The Pub (IRE),2.324,0.851,0.81,0.669
Sir Cumference (GB),0.968,0.406,0.725,0.6
Silent Gunner (GB),0,0,0.482,0.35
Secret Drinker (IRE),1.937,1.004,0.68,0.568
Irish Fashion (USA),0,0,0.24,0.133
Nordic Prince (IRE),0,0,0.233,0.163
Panhandle (GB),0,0,0.125,0.035
Mr Banker (GB),0,0,0,0
Framlingham (GB),0,0,0,0
Little Herman (IRE),0,0,0,0
HeartacheI (GB),1.66,1.92,0.299,0.254
Star Time (IRE),0,0,0.296,0.204
Little Ed (GB),0,0,0.167,0.056
DontnockEr (IRE),0,0,0.281,0.146
Tremallt (IRE),3.874,1.821,0.524,0.442
Lord Beau (IRE),7.748,3.723,0.933,0.88
Exit To Wave (FR),0,0,0.3,0.18
Johns Legacy (GB),7.748,2.874,0.8,0.72
Primitive Rites (GB),0,0,0.188,0.141
Kathies Pet (GB),1.937,1.261,0.717,0.544
Onassis (GB),0,0,0.292,0.255
Irish Blessing I (USA),2.583,1.274,0.624,0.517
Kings Travel (FR),0,0,0.439,0.259
Colonial Sunset (IRE),0,0,0.418,0.246
Philippa Yeates (IRE),4.358,2.188,0.627,0.538
Timidjar (IRE),1.453,1.329,0.683,0.492
Red Genie (GB),0,0,0.348,0.228
Heathyards Friend (GB),0,0,0.312,0.098
Jour De Mee (FR),1.291,1.05,0.531,0.381
Angies Double (GB),2.49,1.757,0.567,0.421
Barton Beau (IRE),1.937,2.815,0.388,0.256
East Lawyer (FR),2.905,0.849,0.564,0.423
Cinnamon Line (GB),2.905,1.298,0.604,0.502
Deer Dancer (GB),0,0,0.304,0.156
Alphabetic (GB),0,0,0.167,0.083
Magot De Grugy (FR),3.874,1.537,0.733,0.608
The Hairy Lemon (GB),2.905,1.026,0.76,0.624
St Jerome (GB),0,0,0.071,0.01
The Last Mohican (GB),0,0,0.381,0.234
Sungates (IRE),1.937,2.008,0.375,0.297
Lesdream (GB),0,0,0.575,0.447
Tensile (IRE),3.874,1.016,0.897,0.812
Keepers Mead (IRE),1.162,0.81,0.496,0.385
Lorgnette (GB),0,0,0.49,0.306
JavelinI (GB),0,0,0.186,0.06
Guard Duty (GB),0,0,0.422,0.268
Minster Shadow (GB),0,0,0.505,0.383
Dantes Back (IRE),0,0,0.344,0.156
Howdydoody (IRE),0,0,0.58,0.504
Midnight Gunner (GB),1.66,1.465,0.459,0.378
Our Jolly Swagman (GB),1.291,1.394,0.217,0.163
Glanamana (IRE),0,0,0.231,0.173
Pass Me A Dime (GB),4.981,3.766,0.79,0.667
Jet Magic (IRE),0,0,0.31,0.287
Sunset Light (IRE),5.811,1.5,0.855,0.755
Malaga Boy (IRE),1.66,0.785,0.73,0.57
Cousin Nicky (GB),0,0,0.617,0.455
Radnor Lad (GB),0,0,0.404,0.171
Henrys Luck Penny (IRE),0,0,0.416,0.249
Northern Madrik (FR),0,0,0.388,0.181
Running Lord (IRE),0,0,0.533,0.343
Ask Andrea (GB),0,0,0,0
Powra (GB),0,0,0.102,0.027
Simple Glory (IRE),1.937,2.974,0.558,0.356
Lord Of The Road (GB),0,0,0.731,0.562
Freydis (IRE),0,0,0.273,0.149
Phairy Storm (IRE),0,0,0.228,0.08
Like A Breeze (GB),0,0,0,0
Icy Prospect (IRE),2.324,1.142,0.3,0.25
Temper Lad (USA),2.905,1.669,0.795,0.688
Little Villain (IRE),0,0,0.372,0.211
Andys Lad (IRE),0,0,0.234,0.166
I Tina (GB),0,0,0.293,0.172
Black Swan (IRE),0,0,0.108,0.024
Livia (IRE),0,0,0.167,0.056
Le Jaguar (FR),2.324,0.691,0.645,0.514
Ballywalter I (IRE),0,0,0.466,0.273
Flying Fortune (IRE),0,0,0.385,0.234
Rings Of Power (IRE),0,0,0.242,0.115
Ebony Jack (IRE),1.162,0.766,0.538,0.404
Woodenbridge Natif (IRE),0,0,0.714,0.509
Native Cunning (GB),0,0,0.337,0.225
Kansas City (FR),0,0,0.529,0.335
Felix Darby (IRE),0,0,0.436,0.272
Sir Bob I (IRE),0,0,0,0
Walking Sunday (IRE),1.453,1.276,0.488,0.34
General OKeeffe (GB),0,0,0.382,0.272
Harapour (FR),2.905,1.625,0.417,0.361
Ojays Alibi (IRE),4.649,2.355,0.627,0.55
IlAthou (FR),3.874,2.25,0.467,0.387
Genghis (IRE),5.165,2.071,0.708,0.605
Monksford (GB),0,0,0.327,0.267
Cooldine King (IRE),0,0,0.746,0.563
Vigoureux (FR),0,0,0.371,0.243
My World (FR),3.874,1.608,0.722,0.602
Marrel (GB),0,0,0.112,0.018
Sadlers Pride (IRE),0,0,0.294,0.26
Arctic Blue (GB),11.621,201,1,1
Bonny Grey (GB),1.162,0.832,0.627,0.512
The Grocers Curate (IRE),0,0,0.794,0.635
LEau Du Nil (FR),0,0,0.74,0.573
Bar Gayne (IRE),1.937,1.661,0.454,0.353
Dancinginthestreet (GB),2.113,1.67,0.403,0.324
Dangerous Dan McGo (IRE),0,0,0.208,0.045
Julandi (GB),0,0,0.201,0.078
Aricovair (IRE),0,0,0.083,0.014
Glanworth (IRE),0,0,0,0
The Varlet (GB),0,0,0.489,0.27
Never Promise (FR),0,0,0.145,0.106
Commanche Jim (IRE),1.453,0.777,0.454,0.346
Isou (FR),0,0,0.456,0.288
Ashgreen (GB),2.905,1.456,0.655,0.526
Montu (GB),0,0,0.333,0.111
Belski (GB),0,0,0.222,0.148
Threes Company (IRE),0,0,0.364,0.281
Boundary House (GB),0,0,0.214,0.184
Look To The Future (IRE),0,0,0.294,0.195
Haafel I (USA),2.905,2.041,0.401,0.36
Harry Harestone (GB),0,0,0,0
Jonanaud (GB),0,0,0.438,0.261
Idiome (FR),0,0,0.691,0.484
Big Bone (FR),0,0,0.626,0.399
Mobasher (IRE),0,0,0.204,0.078
Sommelier (GB),2.905,2.317,0.607,0.474
Black Hills (GB),3.874,1.463,0.908,0.831
Danzig Conquest (GB),0,0,0.642,0.465
Back Among Friends (GB),0,0,0.423,0.281
Appleaday (IRE),0,0,0.615,0.379
Dunsfold Duke (GB),0,0,0.695,0.538
Barum Belle (GB),0,0,0.269,0.123
Solar Son (GB),0,0,0.308,0.095
Mountain Singer (IRE),0,0,0.302,0.1
Michigan DIsop (FR),0,0,0.418,0.291
Maloy (GER),0,0,0.077,0.006
Tanzanite Dawn (GB),0,0,0.228,0.087
Fluff N Puff (GB),0,0,0.667,0.472
Baie Des Singes (GB),0,0,0.533,0.379
Moyliscar (GB),0,0,0.225,0.112
CedarI (GB),0,0,0.465,0.295
Otahuna (GB),3.874,3.014,0.631,0.519
Cusp (GB),1.056,1.15,0.342,0.209
Nycteos (FR),2.324,1.451,0.684,0.515
The Cad (IRE),0,0,0.5,0.27
Tass Heel (IRE),0,0,0.38,0.222
Seveneightsix (IRE),1.056,1.243,0.434,0.301
Text (GB),0,0,0.753,0.606
Legalis I (USA),0,0,0,0
Dmitri (GB),0,0,0.284,0.122
Jos Sale (IRE),0,0,0.164,0.051
Joaaci (IRE),5.811,1.417,0.7,0.66
Motcombe (IRE),1.937,0.94,0.64,0.533
Tradingup I (IRE),0,0,0.617,0.404
Easibrook Jane (GB),0,0,0.405,0.217
The Real Boss (IRE),0,0,0.205,0.167
The Pecker Dunn (IRE),1.66,2.455,0.232,0.199
Merry Storm (IRE),0,0,0.248,0.154
Monsieur Rose (IRE),0,0,0.208,0.13
The Mighty Sparrow (IRE),1.453,1.32,0.515,0.391
Monbonami (IRE),0,0,0.25,0.188
Redvic (GB),0,0,0.133,0.053
Kildee Lass (GB),0,0,0.636,0.452
Visibility (FR),1.66,1.127,0.375,0.231
Rocket Bleu (FR),0,0,0.366,0.229
Royal Coburg (IRE),2.324,0.902,0.781,0.629
Could Be Alright (IRE),0,0,0.784,0.624
Mistress Nell (GB),0,0,0.664,0.463
Montrolin (GB),0,0,0.43,0.276
Gritti Palace (IRE),1.937,3.064,0.788,0.637
A Few Kind Words (IRE),0,0,0.586,0.398
Earth Moving (IRE),0,0,0.452,0.33
Miss Mailmit (GB),1.66,1.3,0.481,0.355
Co Optimist (GB),2.905,1.199,0.527,0.449
Prato (GER),3.874,2.295,0.556,0.481
Man Ray (USA),0,0,0.668,0.514
Huw The News (GB),0,0,0.219,0.101
Laugherne Bank (IRE),0,0,0.15,0.035
Mvezo (GB),0,0,0.045,0.008
Mister Right (IRE),2.113,1.442,0.712,0.579
Fantastic Arts (FR),0,0,0.462,0.426
Muscadier (IRE),0,0,0.659,0.452
Bounce Again (FR),0,0,0.494,0.327
Spilaw (FR),0,0,0.409,0.255
Tam OShanter (GB),0,0,0.301,0.16
Robbies Adventure (GB),0,0,0.203,0.082
Koko Kabana (IRE),0,0,0.457,0.242
Copper Shell (GB),0,0,0.235,0.09
Alvaro (IRE),0,0,0.397,0.289
Real Definition (GB),0,0,0.409,0.226
Humming (GB),0,0,0.111,0.037
Harry Bridges (GB),0,0,0.093,0.013
Tudor Star (GB),0,0,0,0
Phar City (IRE),0,0,0.538,0.402
Grandee Line (GB),0,0,0.417,0.268
Channahrlie (IRE),1.291,0.805,0.596,0.439
Lord N Master (IRE),1.937,1.903,0.505,0.383
My Lady Link (FR),2.905,2.09,0.609,0.542
Parish Oak (GB),1.937,1.137,0.631,0.444
Running Times (USA),0,0,0.398,0.259
Here Comes Harry I (GB),0,0,0.669,0.519
Ettrick (NZ),0,0,0.15,0.034
Cherry Gold (GB),7.748,2.692,0.792,0.714
Vanilla Man (IRE),0,0,0.889,0.79
Dawns Cognac (IRE),0,0,0.746,0.558
Dexter Gordon (IRE),0,0,0.667,0.444
Derring Dove (GB),0,0,0.556,0.309
Pure Steel (IRE),0,0,0.111,0.049
Manhunter (IRE),0,0,0,0
Barton Bandit (GB),0,0,0,0
Whats Up Jake (GB),0,0,0,0
Sargasso SeaI (GB),0,0,0.489,0.348
Lutea (IRE),1.66,0.605,0.726,0.559
Sparkes (GB),0,0,0.276,0.088
Chiqitita (IRE),0,0,0.075,0.018
Dancing Deano (IRE),1.056,0.813,0.714,0.556
Ruman (IRE),1.66,1.132,0.695,0.527
Superstitious (IRE),4.649,3.259,0.927,0.864
Robmantra (GB),0,0,0.428,0.249
Desert Moonbeam (IRE),0,0,0.281,0.174
Mabella (IRE),0,0,0.353,0.178
Sister Gee (IRE),0,0,0.563,0.351
Campeon (IRE),1.66,1.243,0.534,0.38
Flying Dancer (GB),0,0,0.402,0.25
Pro Tempore (GB),0,0,0.581,0.401
Ellens Princess (IRE),1.937,1.722,0.631,0.48
Gavioli (IRE),1.162,1.168,0.423,0.274
Exmoor (GB),2.324,1.032,0.698,0.607
Born To Be Bold (GB),1.937,1.671,0.644,0.501
Hewaraat (IRE),1.66,0.611,0.793,0.665
Sudden Edge (GB),0,0,0.687,0.476
Compton Court (GB),0,0,0.68,0.485
Bruno Le Truffle (GB),0,0,0.596,0.41
Dolly (GB),0,0,0.142,0.033
Subcity (IRE),0,0,0.126,0.038
John The Hat (GB),0,0,0.078,0.01
Broughton Buzzer (GB),2.324,2.245,0.484,0.365
Hawkit (USA),0,0,0.509,0.339
Nimello (USA),2.113,1.811,0.537,0.39
Dumaran (IRE),0,0,0.327,0.196
A One (IRE),0,0,0.318,0.16
Fiesty Madam (GB),0,0,0.198,0.095
Lady Blade (IRE),0,0,0.257,0.144
Neutrino (GB),1.66,0.89,0.509,0.386
Arthurs Dream (IRE),0,0,0.445,0.263
Tanzanite (IRE),2.324,1.628,0.692,0.546
Flaming Weapon (GB),1.453,1.925,0.48,0.303
Darko Karim (GB),0,0,0.447,0.289
Montjeu Baby (IRE),1.788,1.282,0.62,0.497
Maktu (GB),0,0,0.218,0.06
Groomsman (GB),1.453,0.955,0.443,0.314
Countess Foley (GB),0,0,0.322,0.139
Cape Enterprise (USA),0,0,0.454,0.278
Primeshade Promise (GB),1.056,0.919,0.662,0.522
Band (GB),1.937,1.185,0.633,0.468
The Gaikwar (IRE),1.395,0.747,0.758,0.622
Knocktopher Abbey (GB),0,0,0.584,0.383
Meelup (IRE),2.179,2.015,0.599,0.443
Barrissimo (IRE),0,0,0.322,0.171
Latin Queen (IRE),1.937,0.642,0.733,0.599
Camille Pissarro (USA),4.649,4.319,0.485,0.422
Jarvo (GB),0,0,0.463,0.305
Shadowfax (GB),0,0,0.205,0.105
Zafarshah (IRE),0.93,0.719,0.603,0.425
Hadath (IRE),3.058,1.944,0.624,0.507
Summer Recluse (USA),0.968,0.779,0.583,0.437
Ocean Pride (IRE),2.324,1.209,0.66,0.497
Tous Les Deux (GB),2.905,0.741,0.593,0.47
Montzando (GB),1.291,0.895,0.49,0.351
Spunger (GB),3.32,3.85,0.704,0.554
Khyber Knight (IRE),0,0,0.213,0.069
Cold Cure (GB),0,0,0.2,0.056
Bay Diamond (GB),0,0,0.101,0.031
Valentine Jak (IRE),0,0,0.091,0.025
One Upmanship (GB),0,0,0.582,0.371
Keltic Rainbow (IRE),0.83,0.774,0.562,0.395
Breezer (GB),1.056,0.955,0.494,0.317
Ben Hur (GB),0.968,0.531,0.598,0.426
Brochrua (IRE),1.056,0.852,0.588,0.409
Daring Games (GB),0,0,0.178,0.06
Tafaahum (USA),0,0,0.416,0.265
My Michelle (GB),2.324,2.085,0.623,0.471
Indian Edge (GB),0,0,0.805,0.678
Musical Gift (GB),0,0,0.645,0.459
Piddies Pride (IRE),1.937,1.56,0.551,0.428
Arfinnit (IRE),0.968,1.195,0.487,0.315
Now Look Away (IRE),0,0,0.492,0.309
Mister Muja (IRE),0,0,0.262,0.108
Magic Amour (GB),2.324,1.249,0.707,0.572
My Girl Pearl (IRE),1.66,1.368,0.436,0.3
Mister Benji (GB),1.937,2.242,0.549,0.4
Dan Di Canio (IRE),0,0,0.514,0.351
Over To You Bert (GB),0,0,0.292,0.17
The Fun Merchant (GB),2.583,2.756,0.58,0.426
Smoothly Does It (GB),0,0,0.685,0.483
Leaping Brave (IRE),0,0,0.457,0.316
Game Guru (GB),0.775,0.691,0.478,0.362
Rahjel Sultan (GB),0,0,0.43,0.203
Fen Gypsy (GB),0,0,0.184,0.054
Topton (IRE),0.581,0.521,0.539,0.358
Goodwood Spirit (GB),1.162,0.849,0.681,0.511
The Composer (GB),0,0,0.371,0.167
High Dyke (GB),2.905,2.142,0.535,0.408
Royal Wedding (GB),1.056,0.589,0.578,0.446
New Wave (GB),0,0,0.583,0.443
Colourful Era (GB),1.291,1.834,0.487,0.37
I Wish (GB),1.162,1.021,0.636,0.469
Full Spate (GB),1.367,1.067,0.64,0.465
Toberogan (IRE),1.162,0.934,0.738,0.588
