damsire,IV,A/E,PRB,PRB2
The Minstrel,1.018,0.806,0.488,0.341
Distinctly North,0.696,0.697,0.457,0.313
Astronef,0.65,0.741,0.344,0.203
Broken Hearted,1.114,1.169,0.531,0.386
Salse,0.878,0.818,0.442,0.297
Slew OGold,1.015,0.774,0.489,0.345
Machiavellian,1.047,0.76,0.528,0.376
Green Shoon,1.213,0.722,0.468,0.357
Lyphard,1.135,0.862,0.508,0.363
Politico,0,0,0.434,0.261
Cariellor,0.684,0.44,0.483,0.338
Tobrouk,0,0,0,0
Deadly Nightshade,0,0,0.278,0.154
Pure Flight,1.66,0.944,0.589,0.455
Super Concorde,1.192,0.934,0.462,0.332
Electric I,1.003,0.784,0.483,0.34
Auction Ring,1.056,0.823,0.514,0.365
My Friend Paul,0,0,0.398,0.243
Dunbeath,0.553,0.607,0.453,0.3
Val De LOrne,2.235,1.417,0.581,0.46
Scorpio,1.367,1.579,0.483,0.358
Avocat,1.011,1.036,0.432,0.299
Montelimar,1.125,0.737,0.553,0.411
Mandalus,0.656,0.538,0.483,0.341
Caerwent,1.816,1.323,0.511,0.4
Import,0.298,0.437,0.301,0.16
Le Bavard,1.053,0.846,0.463,0.335
Riverman,1.357,0.966,0.531,0.386
Strong Gale,1.308,0.918,0.511,0.379
Roi De Rome,5.811,1.739,0.849,0.754
Aragon,0.855,0.735,0.485,0.338
Grand Conde,2.113,1.159,0.665,0.565
Cricket Ball,0,0,0.503,0.354
Riot Helmet,0.553,0.399,0.468,0.323
Gala Performance,0.775,0.665,0.428,0.285
Down The River,0,0,0.322,0.162
Imperial Fling,0.83,0.585,0.53,0.386
Foolish Pleasure,0,0,0.457,0.291
Military,4.649,1.906,0.747,0.701
Icelandic,3.32,2.349,0.775,0.631
Move Off,0.861,1.35,0.409,0.288
Skyliner I,0.885,0.922,0.439,0.302
Orange Bay,0.612,0.508,0.578,0.435
Gulf Pearl,2.905,2.505,0.701,0.549
Nicholas Bill,0.543,0.5,0.417,0.288
Le Tricolore,0,0,0.167,0.043
Singh,1.162,1.609,0.548,0.406
Kenmare,1.049,0.854,0.474,0.34
Law Society,0.936,0.805,0.485,0.334
Prince Tenderfoot,0.894,0.8,0.474,0.328
Sparkler I,0.726,0.778,0.451,0.296
Affirmed,0.734,0.465,0.558,0.411
Revlow,0,0,0.725,0.552
Gold Rod,1.788,1.419,0.652,0.515
Commanche Run,1.146,0.984,0.488,0.343
Kampala,1.634,1.163,0.509,0.371
Mummys Pet,0.913,0.958,0.469,0.315
Waajib,0.723,0.657,0.463,0.314
Buckskin,1.348,1.06,0.511,0.379
Phardante,1.174,0.826,0.504,0.372
Millers Mate,0.75,0.447,0.634,0.478
Roan Rocket,0.684,0.78,0.462,0.312
Northern Dancer,0.541,0.464,0.49,0.341
Dubassoff,1.347,1.052,0.491,0.372
Duky,1.177,0.793,0.448,0.311
Welsh Captain,0.646,0.96,0.343,0.239
Funny ManI,0,0,0.125,0.06
Sexton Blake,0.345,0.492,0.421,0.27
Danzig,1.007,0.731,0.511,0.358
Anshan,0.845,0.814,0.472,0.326
Broadsword,0.43,0.444,0.404,0.286
Green Desert,1.125,0.835,0.512,0.366
Persian Heights,0.701,0.692,0.436,0.287
Jasmine Star,1.291,1.024,0.354,0.246
Sit In The Corner,1.162,1.76,0.461,0.331
Mazaad,0.968,0.801,0.494,0.346
Miners Lamp,1.162,0.968,0.463,0.328
Belfort,0.66,0.567,0.46,0.317
Kambalda,0.576,0.546,0.474,0.324
Suvero,2.113,1.03,0.593,0.451
Pragmatic,0.604,0.561,0.465,0.316
Dara Monarch,0,0,0.288,0.141
Primitive Rising,0.996,0.569,0.599,0.479
Pharly,1.019,0.83,0.526,0.379
Roberto,0.96,0.725,0.491,0.338
Tyrant,1.367,1.047,0.582,0.412
Polish Precedent,0.89,0.749,0.512,0.359
Pennine Walk,1.162,0.918,0.512,0.366
Cree Song,1.291,0.861,0.468,0.361
Master Owen,0.646,0.429,0.473,0.338
Niniski,1.11,0.858,0.512,0.369
Mandrake Major,0.989,1.15,0.477,0.315
Proverb,1.175,0.837,0.519,0.39
Nashwan,1.185,0.828,0.501,0.358
Polish Patriot,1.316,0.927,0.518,0.375
Blakeney,1.556,1.151,0.535,0.395
Melyno,1.937,2.871,0.351,0.265
Fappiano,1.754,1.247,0.543,0.421
Kings Ride,1.087,0.87,0.523,0.387
Shadeed,0.959,0.75,0.505,0.36
Sackford,0,0,0,0
Gran Alba,0,0,0.143,0.061
Big John,1.453,1.805,0.494,0.345
Sharrood,0.656,0.591,0.45,0.298
Warpath,0.632,0.697,0.477,0.338
Dahar,1.096,1.042,0.409,0.286
Persian Bold,1.084,0.877,0.507,0.363
Danzatore,0.75,0.406,0.548,0.367
Seeking The Gold,1.351,0.965,0.529,0.39
Coxs Ridge,0,0,0.356,0.21
Kris,0.965,0.83,0.485,0.338
Sagace,1.722,1.149,0.473,0.336
Indian Ridge,0.981,0.775,0.505,0.362
Al Sirat I,0,0,0.263,0.144
Port Etienne I,2.324,1.208,0.524,0.402
Wonderful Surprise,2.905,2.254,0.717,0.63
What A Guest,0,0,0.31,0.155
Derring Rose,0.715,0.769,0.456,0.32
Apollo Eight,0.968,1.497,0.465,0.317
Nobody Knows,0,0,0.067,0.013
Paddys Stream,1.175,0.798,0.49,0.351
Conquistador Cielo,1.803,1.252,0.592,0.458
Torus,0.917,0.816,0.452,0.309
Zaffaran,1.056,1.36,0.32,0.17
Oats,0.841,0.757,0.474,0.339
Kaldoun,1.162,0.808,0.546,0.401
Carlingford Castle,1.109,0.938,0.489,0.356
Scallywag,1.045,1.1,0.367,0.244
Mukaddamah,1.516,1.276,0.543,0.41
Housebuster,2.162,1.919,0.503,0.378
Be My Chief,1.291,1.147,0.514,0.366
Ela-Mana-Mou,0.974,0.845,0.512,0.359
Arctic Tern,0.795,0.613,0.496,0.346
Celestial Storm,0.911,1.1,0.56,0.402
Thatching,1.136,1.04,0.504,0.357
Lion Cavern,1.55,1.089,0.526,0.381
El Gran Senor,0.854,0.648,0.489,0.335
Lightning,2.324,2.149,0.593,0.45
Northern State,0.788,0.819,0.448,0.305
Try My Best,0.272,0.279,0.377,0.223
Forzando,0.702,0.592,0.48,0.339
M Double M,0.85,0.784,0.543,0.389
Petardia,0.911,0.818,0.51,0.347
Exactly Sharp,1.453,1.406,0.478,0.344
Young Generation,0.625,0.598,0.455,0.303
Nomination,1.102,0.933,0.543,0.384
Macs Imp,0.618,0.705,0.415,0.269
Corvaro,0.738,0.739,0.395,0.244
Elmaamul,1.639,1.206,0.471,0.323
Head For Heights,1.788,1.569,0.546,0.412
Ballad Rock,0.691,0.591,0.467,0.318
