damsire,IV,A/E,PRB,PRB2
Full Of Hope,1.011,0.942,0.394,0.311
LEmigrant,0,0,0.361,0.2
Cadoudal,1.198,0.931,0.446,0.33
Seymour Hicks,0.215,0.209,0.516,0.36
Raga Navarro,0.894,0.791,0.479,0.345
Be My Native,0.807,0.673,0.509,0.35
Easy Goer,1.885,1.086,0.573,0.429
Baron Blakeney,0.283,0.263,0.367,0.248
Olden Times,0,0,0.567,0.349
Palm Track,0.581,0.902,0.385,0.25
Belfalas,0.596,0.749,0.378,0.239
Master Willie,0.593,0.442,0.466,0.331
Crystal Palace,1.49,1.067,0.496,0.354
Arapaho,0.704,0.701,0.418,0.295
Crofter,0.375,0.3,0.511,0.357
Menelek,1.196,0.744,0.524,0.386
Saumarez,1.427,1.177,0.513,0.383
Creetown,0,0,0.316,0.192
Quayside I,0.481,0.443,0.437,0.294
Supreme Leader,0.93,0.726,0.516,0.373
Tip Moss,1.803,1.154,0.544,0.423
Reesh,0,0,0.378,0.227
Prince Regent,0,0,0.35,0.199
Wassl,1.107,0.991,0.511,0.358
Beldale Flutter,0.908,0.617,0.403,0.277
Good Thyne,1.286,0.863,0.507,0.371
Antwerp City,1.55,0.804,0.456,0.285
Rarity,2.268,1.196,0.516,0.422
Handsome Sailor,0.83,0.832,0.508,0.358
Abdos,0,0,0.467,0.327
Zino,1.564,1.052,0.592,0.464
Highlands I,0,0,0.147,0.037
Lord Americo,0.588,0.554,0.507,0.346
Yashgan,0,0,0.451,0.267
Over The River,1.314,0.972,0.492,0.362
Tadj,1.585,1.202,0.528,0.397
Hallodri,1.162,0.869,0.292,0.189
Cruise Missile,0.684,0.593,0.457,0.319
Nishapour,0.763,0.697,0.495,0.336
Little Buskins,0.474,0.484,0.357,0.247
Creative Plan I,0.623,0.602,0.48,0.329
Great Nephew,0.76,0.654,0.494,0.341
Posen,0,0,0.312,0.171
Alias Smith,0,0,0.514,0.384
War Hawk I,1.453,1.889,0.392,0.297
Strong Statement,0.567,0.516,0.436,0.291
Macmillion,0,0,0.311,0.182
Prince Rheingold,0.447,0.385,0.366,0.252
Major Point,0,0,0.31,0.142
Trimmingham,0.612,0.59,0.461,0.329
Mouktar,0.562,0.449,0.449,0.301
Major Petingo,0,0,0.134,0.038
Fine Blue,0,0,0.071,0.036
Shall We Dance I,2.324,1.08,0.618,0.502
Brezzo,0.5,0.425,0.529,0.37
Shelley,1.937,2.394,0.473,0.371
Neustrien,0,0,0.341,0.209
True Song,0.74,0.673,0.447,0.323
Mondrian,0,0,0.469,0.299
Decent Fellow,1.151,0.829,0.516,0.385
Grey Ghost I,0,0,0.419,0.267
Theatrical,0.989,0.89,0.447,0.299
Rex Magna,2.235,1.393,0.46,0.37
In The Mood,1.453,0.569,0.404,0.336
Pitpan,1.291,0.931,0.397,0.298
Pry,0.553,0.392,0.404,0.287
Pampabird,1.148,0.955,0.506,0.371
Jolly Jake,1.49,0.998,0.46,0.348
Sunyboy,0.164,0.291,0.311,0.168
Executive Perk,0.933,0.79,0.502,0.362
Arzanni,1.66,4.204,0.475,0.315
Lepanto,0.845,0.777,0.46,0.3
Netherkelly,1.069,0.825,0.498,0.356
Decoy Boy,0,0,0.158,0.063
Owen Dudley,0.726,0.403,0.388,0.263
Spud,1.291,0.746,0.558,0.444
Prince Wo,3.32,0.768,0.747,0.66
First Norman,0,0,0.407,0.251
Free Boy,2.324,0.875,0.644,0.559
Murmure,0,0,0.323,0.181
Secreto,0.75,0.53,0.508,0.36
Filiberto,0,0,0.502,0.339
Gift Card,0,0,0.448,0.259
In Reality,0,0,0.294,0.155
Crystal Glitters,1.184,0.953,0.545,0.404
Rising,2.905,1.412,0.616,0.516
Master Buck,1.66,1.303,0.496,0.387
Beyssac,1.55,0.655,0.634,0.512
Doubletour,0.415,0.414,0.478,0.341
Fine Blade,0.989,1.315,0.308,0.209
Sulaafah,0.387,1.279,0.254,0.135
Miramar Reef,0,0,0,0
Un Numide,2.905,1.57,0.643,0.561
Zamazaan,0.465,0.199,0.538,0.388
Ya Zaman,1.849,1.456,0.553,0.413
Balboa,0,0,0.148,0.078
Comedy Star,0.968,0.797,0.482,0.346
Troy,1.041,0.744,0.521,0.39
Jaazeiro,0,0,0.405,0.256
Profilic,0,0,0.718,0.519
Giolla Mear,0.818,0.699,0.47,0.336
Priolo,1.015,1.054,0.519,0.369
Golden Dipper,0,0,0.27,0.169
Welsh Saint,0.989,0.764,0.578,0.426
Shardari,1.08,0.751,0.524,0.379
Roi Soleil I,0,0,0.27,0.113
Black Minstrel,0.666,0.724,0.422,0.285
Murrayfield,2.179,1.3,0.633,0.496
Meadowlake,0,0,0.433,0.252
Distinctive Pro,0,0,0.537,0.318
Laurence O,0.953,0.656,0.513,0.389
Faraway Son,0,0,0.501,0.326
Flotow,0,0,0.457,0.284
Seattle Song,1.535,1.058,0.515,0.381
Le Riverain,2.324,1.801,0.538,0.438
Windwurf,2.113,1.305,0.584,0.466
Leading Counsel,1.056,0.607,0.694,0.537
Wollow,1.223,1.518,0.448,0.31
Maelstrom Lake,0,0,0.405,0.242
Connaught,0.968,1.22,0.433,0.296
Son Of Silver,1.245,0.746,0.578,0.418
Kemal,1.221,0.897,0.5,0.365
Piaffer,1.937,1.996,0.494,0.409
Bandmaster,0,0,0.573,0.334
Green Adventure,0,0,0.172,0.062
Runnett,0.594,0.64,0.468,0.322
New Member,0.498,0.454,0.456,0.326
Italic,3.719,1.985,0.641,0.526
Nordance,1.011,0.996,0.532,0.368
Stalker,0.401,0.409,0.471,0.32
Battlement,5.811,3.158,0.955,0.913
Prove It Baby,0,0,0.394,0.25
Trasis Son,2.324,1.693,0.641,0.515
Beau Charmeur,1.25,1.035,0.494,0.366
Pietru,0,0,0.472,0.256
Flash Of Steel,0.894,0.915,0.33,0.195
Konigsstuhl,1.354,0.946,0.515,0.397
Cormorant,2.526,1.652,0.625,0.506
Dalesa,0,0,0.613,0.419
Priamos,2.905,1.326,0.523,0.394
Star Way,0.894,0.468,0.699,0.541
Sky Lawyer,0.968,0.867,0.63,0.455
Rapid Pass,0,0,0.312,0.182
Bulldozer,0.632,0.581,0.409,0.275
Happy New Year,2.324,2.291,0.286,0.237
Abednego,1.139,1.14,0.413,0.301
Turtle Island,0.664,0.68,0.469,0.316
Country Retreat,0,0,0.134,0.018
Ile De Bourbon,0.453,0.392,0.473,0.323
In Fijar,0.253,0.231,0.473,0.315
Good Manners,0,0,0.324,0.209
Satin Wood,2.113,2.05,0.482,0.407
Hill Clown,0,0,0.433,0.376
Ragapan,0,0,0.4,0.267
Spartan General,0.968,0.962,0.42,0.307
Half Iced,0,0,0.125,0.047
Montorselli,1.788,0.862,0.696,0.545
Clever Trick,1.056,0.834,0.421,0.279
Rose Laurel,0.447,0.601,0.384,0.241
Then Again,0.664,0.938,0.447,0.295
Empery,1.529,1.114,0.504,0.39
Lemhi Gold,1.55,0.53,0.697,0.56
High Line,0.741,0.664,0.469,0.319
Emmson,0,0,0.143,0.041
Kashtan,1.125,0.846,0.466,0.33
Saxon Farm,1.162,0.99,0.469,0.344
Kalamoun,0,0,0.224,0.092
Kashmir Ring,1.162,0.455,0.619,0.454
Garde Royale,1.453,0.793,0.632,0.499
Legal Tender,1.291,0.914,0.307,0.239
Persifleur,5.811,2.52,0.833,0.722
Nearly A Hand,0.674,0.713,0.386,0.259
Rakaposhi King,0.553,0.389,0.451,0.306
Nikos,1.056,0.568,0.553,0.388
Mart Lane,0,0,0.378,0.232
Diamond Shoal,0,0,0.25,0.067
Bustiki,0,0,0.324,0.165
Tarqogan,0.337,0.289,0.436,0.318
Weavers Hall,0,0,0.49,0.318
Damsire Unregistered,0.598,0.635,0.402,0.259
Down The Hatch,1.341,1.818,0.378,0.284
Brush Aside,1.023,0.698,0.522,0.379
Black Tie Affair,0.323,0.428,0.396,0.248
,0.726,0.717,0.409,0.324
Crafty Prospector,1.964,1.21,0.623,0.485
Gyr,0,0,0.342,0.142
Nassipour,1.788,0.784,0.508,0.362
Captains Treasure,0,0,0.283,0.18
Noir Et Or,1.162,0.813,0.402,0.273
Turn And Count,0,0,0.398,0.206
Raise A Cup,0,0,0.505,0.321
Plugged Nickle,0.484,0.571,0.378,0.25
Al Hareb,0.924,0.844,0.498,0.345
Pitskelly,0.219,0.247,0.466,0.309
Dragonara Palace,0.894,1.057,0.354,0.257
Verbatim,1.056,0.752,0.583,0.426
Muscatite,2.905,2.312,0.586,0.414
Twenty Four Karat,0,0,0.432,0.27
Riva Ridge,2.324,3.377,0.541,0.386
Sagaro,0.811,0.789,0.47,0.327
Infantry I,0,0,0.376,0.199
Precipice Wood,1.09,0.809,0.463,0.338
Temperence Hill,2.324,1.808,0.75,0.603
Myjinski,0,0,0.33,0.218
Native Rythm,0,0,0.291,0.143
Legal Bid,0,0,0.492,0.269
Tug Of War,0.788,0.618,0.511,0.361
Round Table,1.291,1.718,0.405,0.262
Stop The Music,0.968,0.8,0.479,0.342
Saint Henri,0,0,0.289,0.141
Royal Charter,2.465,1.069,0.659,0.537
Heres,1.056,0.986,0.508,0.378
Ribero,0,0,0.25,0.13
Stradavinsky,0,0,0.12,0.036
Home Guard,1.395,1.58,0.49,0.337
Sukawa,2.583,2.157,0.539,0.476
Welsh Chanter,0.447,0.468,0.443,0.288
Ti King,1.291,0.759,0.534,0.432
Will Somers,0,0,0.024,0.002
Pannier,3.874,2.104,0.333,0.333
Aristocracy,1.351,1.248,0.482,0.365
St Columbus,0,0,0.248,0.113
Mister Majestic,0.726,0.608,0.481,0.336
Satco,1.148,0.858,0.522,0.394
Royal And Regal,0,0,0.336,0.182
Crow,0,0,0.345,0.221
Beau Chapeau,0,0,0.348,0.24
Arts And Letters,1.585,0.97,0.431,0.326
Yawa,1.056,0.728,0.558,0.429
Graustark,0,0,0.329,0.173
Boyne Valley,1.192,0.997,0.605,0.46
Bivouac,0,0,0.219,0.102
Pony Express,0,0,0.437,0.262
Charlaw,1.162,1.731,0.54,0.375
Lir,2.051,1.396,0.518,0.394
R B Chesne,2.817,1.559,0.67,0.537
Luthier,0.811,0.697,0.503,0.366
Air Forbes Won,0,0,0.025,0.002
Semipalatinsk,0,0,0.442,0.27
Goldhill,0.712,0.537,0.485,0.344
Brigadier Gerard,1.263,1.225,0.467,0.331
Dike,0,0,0.235,0.12
Vacarme,1.056,0.611,0.641,0.453
Lashkari,0.96,0.749,0.512,0.353
Malinowski,0.505,0.396,0.442,0.295
Maystreak,0,0,0,0
Cash And Carry,0,0,0.524,0.338
Ercolano,1.291,0.948,0.411,0.298
Flying Saucer,0,0,0.445,0.274
Thowra,0,0,0.063,0.009
Some Hand,0,0,0.423,0.237
Fast Topaze,0.528,0.275,0.464,0.317
Coquelin,0.816,0.708,0.387,0.279
Sunley Builds,0,0,0.356,0.207
No Argument,1.55,0.981,0.492,0.386
No Pass No Sale,1.937,1.664,0.478,0.362
Thatch,0,0,0.488,0.33
Contract Law,0,0,0.424,0.259
Lighter,1.025,1.222,0.402,0.287
Mandamus,1.585,1.275,0.512,0.387
Long Row I,0,0,0.132,0.044
Sayyaf,1.622,1.2,0.607,0.479
Karkour,5.282,1.566,0.739,0.652
Cavan,1.937,0.703,0.605,0.471
Good BondI,3.32,2.011,0.67,0.589
Crooner,1.291,1.747,0.484,0.348
Don Roberto,0.93,0.675,0.501,0.372
Dieu Soleil,0,0,0.395,0.281
Thethingaboutitis,0.968,2.576,0.439,0.264
Mourtazam,0,0,0.614,0.505
Silver Hawk,1.345,0.797,0.54,0.395
Tap On Wood,0.522,0.408,0.465,0.304
Gay Fandango,0.553,0.426,0.615,0.461
Shafoun,0,0,0.459,0.267
Dom Luc,0,0,0.606,0.432
Space King,1.291,0.976,0.453,0.328
Neman,0,0,0.095,0.024
Trojan Fen,0.294,0.312,0.466,0.304
Cantab,1.162,1.328,0.491,0.274
Silly Answer,3.874,4.435,0.333,0.333
Rocket,0,0,0.487,0.256
New Brig,1.484,1.296,0.428,0.318
Torenaga,0.581,0.618,0.437,0.306
Classic Music,1.388,1.142,0.579,0.422
Jukebox,0,0,0.315,0.168
Rustingo,0,0,0,0
Northern Guest,0.968,1.025,0.356,0.233
Tula Rocket,0,0,0.559,0.371
Convolvulus,2.905,6.699,0.25,0.25
K-Battery,3.874,1.892,0.885,0.797
Whistling Deer,1.081,0.944,0.491,0.361
Trenel,0,0,0.517,0.311
Dschingis Khan,0,0,0.364,0.268
Sovereign Dancer,0.553,0.41,0.491,0.31
Camden Town,1.398,1.131,0.515,0.371
Marasali,0,0,0.414,0.256
Valiyar,1.427,1.244,0.412,0.304
Pag-Asa,0,0,0.32,0.157
Top Command,1.453,0.88,0.477,0.317
Mad Captain,0,0,0.236,0.084
Well Decorated,1.076,0.824,0.555,0.398
Caro,1.709,1.302,0.529,0.404
Tall Noble,2.324,1.302,0.598,0.492
Beau Tudor,0,0,0.281,0.123
State Dinner,0,0,0.183,0.168
Jimmy Reppin,1.66,1.271,0.49,0.345
Drumalis,1.011,1.14,0.387,0.285
Little Wolf,1.291,1.418,0.301,0.203
Arapahos,0.484,0.48,0.481,0.316
Teofane,0,0,0.482,0.342
Mummys Game,1.902,1.564,0.578,0.423
Khalkis,0,0,0.723,0.534
Marfa,2.324,1.326,0.599,0.471
Kalyan,1.367,0.854,0.446,0.331
Leading Man,1.66,1.219,0.416,0.306
Sir Tristram,1.66,1.43,0.445,0.336
Giboulee,2.905,1.618,0.702,0.588
Harvest Spirit,0,0,0.427,0.324
Imperial Lantern,0,0,0.551,0.407
Ballinamona Boy,0,0,0.344,0.167
Bon Sang,0,0,0.459,0.321
Regal Classic,1.66,0.871,0.36,0.291
Dixieland Band,0.656,0.616,0.503,0.353
Cutlass,0,0,0.374,0.204
Halyudh,0,0,0.659,0.508
Sheer Grit,1.162,1.155,0.581,0.445
Croghan Hill,0.484,0.439,0.368,0.238
Northern Fashion,0,0,0.078,0.017
Bold Arrangement,0,0,0.359,0.212
Classic Account,0,0,0.378,0.236
Sportin Life,0,0,0.576,0.378
Shiny Tenth,1.453,2.776,0.497,0.297
Tycoon II,1.937,1.034,0.646,0.525
Record Token,0,0,0.16,0.066
Saint Cyrien,1.056,0.837,0.533,0.419
North Stoke,0,0,0.341,0.219
Colmore Row,0.528,0.456,0.587,0.424
Funambule,1.341,0.913,0.474,0.321
Rhodomantade,1.66,1.141,0.407,0.287
Last Fandango,0,0,0.282,0.173
Cawstons Clown,0.447,0.376,0.574,0.422
Air Du Nord,2.905,1.087,0.56,0.469
Toujours Pret,0.505,0.457,0.42,0.292
Kadrou,0,0,0.295,0.181
Carmarthen,0.894,0.748,0.494,0.335
Alkalde,0.83,0.533,0.379,0.286
Known Fact,0.954,0.792,0.507,0.356
Alhijaz,0.423,0.613,0.438,0.273
The Wonder,2.113,1.073,0.418,0.338
Mister Lord,1.384,0.984,0.509,0.37
Lugana Beach,1.627,1.329,0.475,0.341
Relaunch,0.872,0.794,0.527,0.383
New Target,2.113,1.179,0.663,0.553
Cimon,1.453,0.716,0.552,0.431
Phaeton,0,0,0,0
Kris S,1.937,1.182,0.584,0.444
Emperor Jones,2.214,2.278,0.497,0.356
Capote,0.612,0.515,0.518,0.358
Half A Year,0,0,0.296,0.134
Baillamont,0.291,0.283,0.472,0.315
Exorbitant,0,0,0.611,0.423
Solicitor I,0,0,0.452,0.339
Kala Shikari,1.603,1.26,0.579,0.435
Rich Charlie,1.453,0.927,0.451,0.294
A P Indy,1.524,0.88,0.505,0.371
Saratoga Six,0,0,0.386,0.224
Topanoora,0.314,0.25,0.463,0.343
Moorestyle,0.996,1.063,0.402,0.266
Lac Ouimet,1.788,1.224,0.557,0.391
Exceller,1.561,1.217,0.511,0.373
Risk Me,0.624,0.839,0.421,0.276
Proud Clarion,1.291,1.982,0.485,0.303
Torgos,0,0,0.39,0.214
Mon Tresor,0,0,0.302,0.151
Golden Heights,0.465,0.32,0.567,0.407
Charnwood Forest,0,0,0.355,0.193
Prince Daniel,0,0,0.518,0.313
Horst-Herbert,0.332,0.281,0.532,0.368
Diamond Prospect,0.553,0.624,0.371,0.219
Hellios,0,0,0.288,0.146
Rhoman Rule,0.375,0.343,0.413,0.277
Blushing Scribe,0,0,0.318,0.159
Queens Hussar,1.516,1.069,0.606,0.464
Missed Flight,0,0,0.544,0.36
Tender King,1.435,1.398,0.491,0.348
Peterhof,0,0,0.366,0.148
Bakharoff,1.743,1.064,0.502,0.38
Halo,1.143,0.913,0.406,0.281
Cozzene,1.081,0.8,0.479,0.342
Riboboy,0,0,0.315,0.169
River Falls,0.775,0.675,0.523,0.355
Carmelite House,0.872,0.93,0.487,0.331
Esprit Du Nord,1.025,1.013,0.473,0.325
Darn That Alarm,0,0,0.263,0.131
Holy Bull,0.775,0.352,0.589,0.423
Northern Tempest,1.55,1.905,0.559,0.431
Icecapade,1.66,1.153,0.527,0.415
Wild Again,1.905,1.058,0.589,0.456
Bishop Of Cashel,0,0,0.43,0.25
Pistolet Bleu,2.905,1.686,0.661,0.527
Soviet Lad,0.865,0.84,0.511,0.349
Stage Door Johnny,1.125,0.859,0.459,0.316
Houston,1.125,1.295,0.414,0.263
Magical Strike,0.553,0.621,0.462,0.306
Wolverlife,0,0,0.429,0.257
Sayf El Arab,1.067,1.004,0.499,0.348
Gilded Time,0,0,0.351,0.187
Archway,0.91,0.79,0.479,0.323
Procida,0,0,0.498,0.339
Sillery,0,0,0.234,0.104
Good Times,1.236,1.343,0.434,0.301
Deposit Ticket,0,0,0.342,0.164
Tolomeo,0,0,0.322,0.163
Bold Lad,0,0,0.358,0.195
Snow Chief,0,0,0.443,0.22
Dashing Blade,1.223,1.115,0.458,0.313
Masterclass,0.908,0.945,0.502,0.348
Laxton,0,0,0.286,0.179
Eskimo,1.57,1.233,0.549,0.395
Joligeneration,1.056,0.87,0.54,0.362
Natroun,0.894,1.019,0.538,0.348
River Special,0,0,0.411,0.256
Blushing John,0.968,0.892,0.436,0.302
Moulin,0.612,0.458,0.579,0.413
Exit To Nowhere,0.788,0.732,0.492,0.334
Spend A Buck,0.277,0.219,0.459,0.297
Rheingold,0.612,0.323,0.621,0.464
Play On I,3.874,1.875,0.624,0.515
Devils Bag,0.704,0.652,0.434,0.278
Perfect Parade,0,0,0.332,0.146
Dominion Royale,1.937,1.29,0.577,0.445
Sunshine Forever,0.894,0.774,0.519,0.373
Pancho Jay,2.583,1.151,0.79,0.663
Gulch,1.122,1.017,0.459,0.314
Mistertopogigo,0,0,0.411,0.221
Monsun,0.726,0.592,0.49,0.32
Zieten,0.968,0.599,0.479,0.333
Exclusive Native,0.726,0.339,0.521,0.382
Valid Appeal,1.66,1.623,0.637,0.48
Krayyan,1.125,1.261,0.439,0.291
Shakapour,0,0,0.345,0.22
Alydar,0.811,0.691,0.486,0.337
Mystiko,1.179,1.37,0.405,0.283
Reach,0,0,0.298,0.149
Saddlers Hall,0.505,0.466,0.451,0.308
His Majesty,1.09,0.907,0.428,0.3
Fast Play,0,0,0.687,0.514
Take Risks,2.641,1.534,0.592,0.457
Singspiel,1.66,1.369,0.52,0.356
Accordion,0.528,0.558,0.549,0.381
Mister Baileys,0.401,0.384,0.458,0.301
So Blessed,1.427,0.908,0.56,0.432
Monsanto,0.323,0.363,0.396,0.245
Bletchingly,0,0,0.499,0.316
Confidental Talk,3.874,1.294,0.4,0.347
Exbourne,0.75,0.493,0.551,0.386
Mt Livermore,0.277,0.299,0.329,0.199
Bijou DInde,1.162,1.12,0.471,0.313
Balidar,1.66,1.341,0.509,0.383
Thorn Dance,0.646,0.454,0.469,0.295
Project Manager,0.75,0.683,0.496,0.347
Green Tune,1.162,0.742,0.598,0.444
Vaigly Great,0.968,0.903,0.503,0.353
Ascot Knight,1.107,0.782,0.535,0.377
Pleasant Tap,1.614,1.354,0.508,0.356
Hot Spark,1.291,0.684,0.507,0.364
Legal Eagle,0,0,0.343,0.162
Roanoke,0,0,0.446,0.231
Assert,0.921,0.617,0.494,0.352
Fraam,0,0,0.382,0.204
Dodge,2.324,1.672,0.64,0.509
Iron Duke,1.081,1.368,0.432,0.289
Java Gold,0.861,0.586,0.514,0.339
Le Belvedere,0,0,0.692,0.479
Shining Steel,0,0,0.303,0.17
Zayyani,8.716,2.712,0.797,0.768
Faraway Times,0.968,0.637,0.451,0.301
French Friend,0,0,0.547,0.365
Gran Zar,1.788,1.586,0.405,0.276
Sir Harry Lewis,2.113,0.95,0.787,0.697
Reform,1.835,1.42,0.565,0.409
Dom Racine,1.49,1.177,0.543,0.388
Legend Of France,1.5,1.411,0.419,0.297
Southern Halo,1.743,0.942,0.525,0.392
Smarten,1.162,1.416,0.656,0.533
Explodent,0,0,0.262,0.122
Dynaformer,1.328,0.887,0.562,0.412
Pompeii Court,3.874,1.946,0.648,0.544
Manila,0.726,0.546,0.615,0.448
Lode,0,0,0.51,0.31
Summer Squall,0.93,0.834,0.531,0.37
Rodrigo De Triano,1.937,1.785,0.429,0.26
Durgam,0.968,0.923,0.535,0.369
Sassafras,1.55,0.825,0.582,0.447
Marscay,2.905,1.101,0.802,0.672
With Approval,0,0,0.504,0.343
Raise A Man,0,0,0.377,0.177
Blushing Flame,0,0,0.581,0.4
Lesotho,2.905,1.429,0.755,0.601
Solinus,0,0,0.523,0.274
Pleasant Colony,1.768,1.323,0.54,0.394
Gay Mecene,0.792,0.773,0.437,0.295
Wavering Monarch,2.905,0.811,0.832,0.702
Palace Music,0.664,0.772,0.533,0.383
Love The Groom,3.874,1.715,0.581,0.483
Mashhor Dancer,1.291,0.63,0.637,0.471
Runaway Groom,2.905,2.038,0.596,0.485
Mr Leader,2.905,1.833,0.557,0.404
Pine Circle,0.298,0.219,0.37,0.217
Sea Hero,5.811,2.057,0.701,0.625
Neverneyev,0,0,0.286,0.082
Deputed Testamony,3.874,3.458,0.66,0.495
End Sweep,2.682,0.987,0.72,0.574
Nodouble,0.715,0.577,0.551,0.388
Great Regent,1.937,1.568,0.5,0.377
Neshad,0,0,0.519,0.373
Roy,0,0,0.334,0.214
Time For A Change,1.5,1.087,0.626,0.485
Oscar,1.453,1.931,0.504,0.362
Double Form,0,0,0.557,0.358
Alhaarth,0,0,0.206,0.094
Tropular,1.453,1.321,0.645,0.484
El Prado,0,0,0.242,0.092
St Jovite,1.256,0.861,0.538,0.384
Llandaff,0,0,0.454,0.272
Mining,1.125,1.084,0.569,0.424
Search For Gold,0,0,0.575,0.377
Tejano,0.283,0.252,0.518,0.36
Forest Wind,0,0,0.332,0.193
Norton Challenger,0,0,0.347,0.204
Unbridled,0,0,0.762,0.629
Candy Stripes,0,0,0.403,0.221
Shack,0,0,0.393,0.23
No Louder,1.453,0.763,0.423,0.275
Viking,1.423,1.165,0.527,0.382
Mizaaya,0,0,0.542,0.303
Dublin Taxi,1.55,1.759,0.57,0.432
Full Extent,0.484,0.384,0.552,0.376
General Holme,0.43,0.383,0.491,0.313
Rubiano,2.905,1.656,0.679,0.503
Eagle Eyed,1.367,0.984,0.502,0.38
Flying Paster,0.968,1.39,0.38,0.261
Boundary,1.66,1.22,0.598,0.399
Bourbon,1.66,1.336,0.663,0.553
Pot DOr,1.892,1.042,0.469,0.374
Rio Carmelo,0,0,0.316,0.1
Bayolidaan,0,0,0.4,0.256
Paico,1.223,1.384,0.276,0.2
Bonne Noel,0.83,0.571,0.566,0.421
Vacilante,0,0,0.129,0.032
Laniste,1.743,0.794,0.673,0.53
Panoramic I,2.905,2.462,0.723,0.575
Synefos,1.056,1.002,0.537,0.411
Mistigri,1.223,0.976,0.492,0.36
London Gazette,0.684,0.725,0.524,0.336
Bikala,0,0,0.286,0.157
El Conquistador,0,0,0.331,0.229
Comrade In Arms,1.081,0.712,0.473,0.335
Goodland I,1.937,0.921,0.692,0.52
Le Pontet,1.55,0.611,0.51,0.385
Bustineto,0.738,0.746,0.432,0.307
Lord Ha Ha,1.146,0.838,0.431,0.311
Le Nain Jaune,1.107,0.829,0.534,0.386
Carmont,1.55,0.941,0.581,0.472
Boreen,0.809,0.778,0.464,0.328
Balsamo,1.367,1.014,0.543,0.415
Top Dancer I,0,0,0.646,0.503
Master Thatch,1.66,1.105,0.725,0.614
Lute Antique,3.576,2.105,0.603,0.482
Cyborg,2.49,1.246,0.587,0.443
Kashmir II,0,0,0.423,0.288
Nearly A Nose,0,0,0.381,0.234
Lord Chancellor,1.056,0.93,0.521,0.375
Aveiro,1.162,0.655,0.429,0.281
Puma Des Mottes,1.66,0.601,0.538,0.418
Spoleto,2.905,1.318,0.491,0.403
Chamberlin,2.641,2.215,0.513,0.412
Maiymad,0.968,0.733,0.45,0.299
Naiyli,3.486,3.057,0.638,0.51
Armos,2.324,1.427,0.635,0.511
Perspex,3.874,1.064,0.9,0.815
Bargello,0.277,0.296,0.391,0.256
Ermitage,3.874,2.302,0.333,0.333
Danoso,0.968,0.629,0.498,0.412
Carnaval,0,0,0.395,0.192
Realm,1.937,1.679,0.354,0.25
Lorenzaccio,1.788,1.305,0.468,0.352
Latnahc,1.937,1.423,0.39,0.279
Shackleton,3.013,0.878,0.608,0.493
Fortissimo,2.324,3.551,0.328,0.246
Girandole,0.83,0.773,0.59,0.432
Homo Sapien,1.516,1.219,0.458,0.336
Morespeed,0,0,0.642,0.489
Boreen Beag,1.367,1.559,0.398,0.246
Prince Hansel,0.505,0.326,0.553,0.401
Vitiges,1.66,0.885,0.527,0.41
Appiani II,0,0,0.684,0.494
Captain James,1.66,1.25,0.478,0.342
Dancehall,0,0,0.528,0.334
Northern Treat,1.66,1.202,0.494,0.369
My Dad George,0,0,0,0
Bobs Dusty,1.056,0.508,0.645,0.448
Bellman,0,0,0.354,0.23
Trac,1.291,0.718,0.552,0.426
Sharp Victor,2.113,1.455,0.606,0.496
Snuff Matter,2.905,1.476,0.77,0.631
Sonnen Gold,0.505,0.365,0.466,0.309
Oak Ridge,1.162,0.738,0.559,0.409
National Trust I,2.113,1.095,0.587,0.449
Kirtling I,0,0,0.573,0.364
Guadanini,3.874,2.791,0.599,0.551
Pauper,1.252,0.968,0.385,0.268
Brave Invader,0.996,0.923,0.518,0.367
Coronash,1.453,1.882,0.452,0.304
Charlottown,0,0,0.424,0.306
Swans Rock,0,0,0.494,0.324
Useful,0,0,0.506,0.375
Dance Of Life,0.664,0.682,0.499,0.359
Billion,0,0,0.419,0.282
Saher,1.57,1.086,0.431,0.321
Less Ice,2.324,1.099,0.629,0.552
Truely Nureyev,0,0,0.625,0.464
Perouges,0,0,0.733,0.554
Ardoon,0.726,0.518,0.554,0.401
Frigid Aire,1.291,0.826,0.62,0.511
Jefferson,0,0,0.605,0.55
Tekoah,3.486,1.819,0.737,0.594
Silly Season,1.056,1.044,0.503,0.376
Ballymore,1.743,0.974,0.439,0.347
Raja Baba,0,0,0.467,0.304
Town Crier,1.66,1.142,0.501,0.365
Altountash,1.162,1.711,0.319,0.237
Wolver Hollow,0.717,0.561,0.515,0.36
Saumon,1.937,1.466,0.29,0.229
Grand Tresor,1.291,0.751,0.569,0.461
In The Purple,1.291,0.85,0.718,0.541
Step Together I,1.236,0.899,0.452,0.312
Dancing Champ,3.099,1.082,0.652,0.535
Muscovite,3.228,0.81,0.722,0.608
Ballymoss,0.387,0.316,0.465,0.31
Satingo,0,0,0.258,0.108
Montekin,2.075,1.1,0.426,0.336
Arctic Lord,0.989,0.572,0.477,0.363
Silent Screen,2.214,1.441,0.625,0.489
Moshi,2.905,4.959,0.536,0.423
Gaberdine,2.905,1.2,0.565,0.448
Floriferous,0,0,0.301,0.175
Midland Gayle,3.874,3.019,0.544,0.439
Broxted,1.291,0.805,0.508,0.405
Thoreau,5.811,3.699,0.918,0.85
Pamroy,1.55,1.514,0.384,0.302
Molvedo,0,0,0.37,0.206
Hardboy,0.968,0.943,0.356,0.249
Yellow River,0,0,0.238,0.17
